122,"SELECT objID, ra, dec, psfMag_r, psfMagErr_r,clean,type,mode FROM PhotoObj WHERE (ra between # and #) and (dec between # and #) and type=# and mode=# and (petroMag_r <= #)"
2019-12-24 23:29:00,21
2019-12-24 23:30:00,19
2019-12-24 23:31:00,82
