4,"select plate,MJD,fiberID from specObj   where waveMin <= # and waveMax >= # and snMedian_g >= # and snMedian_g < # and subclass like &&&"
2019-12-26 07:32:00,2
2019-12-26 08:13:00,1
2019-12-26 08:14:00,1
