5318,"SELECT DISTINCT po.objid AS phot_id, po.ra AS phot_ra, po.dec AS phot_dec, po.modelmag_i AS modmag_i FROM PhotoPrimary po WHERE ( po.clean = # OR ( ((po.flags & #) != #) AND ((po.flags & #) = #)  AND (((po.flags & #) = #) OR (po.psfmagerr_i <= #)) AND (((po.flags & #) = #) OR (po.flags & #) = #) ) ) AND (po.calibStatus_i & #) != # AND po.modelmagerr_i <= # AND po.modelmagerr_i > # AND po.modelmag_i > # AND po.extinction_i  <= # AND po.ra BETWEEN # AND #"
2019-07-31 13:33:00,1
2019-07-31 13:34:00,1
2019-07-31 13:37:00,1
2019-07-31 13:38:00,1
2019-07-31 13:43:00,1
2019-07-31 13:45:00,1
2019-07-31 13:48:00,1
2019-07-31 13:51:00,1
2019-07-31 13:55:00,4
2019-07-31 13:56:00,3
2019-07-31 13:58:00,4
2019-07-31 13:59:00,1
2019-07-31 14:00:00,19
2019-07-31 14:01:00,25
2019-07-31 14:02:00,16
2019-07-31 14:03:00,39
2019-07-31 14:04:00,30
2019-07-31 14:05:00,28
2019-07-31 14:06:00,27
2019-07-31 14:07:00,12
2019-07-31 14:08:00,13
2019-07-31 14:09:00,12
2019-07-31 14:10:00,13
2019-07-31 14:11:00,12
2019-07-31 14:12:00,13
2019-07-31 14:13:00,14
2019-07-31 14:14:00,13
2019-07-31 14:15:00,13
2019-07-31 14:16:00,15
2019-07-31 14:17:00,16
2019-07-31 14:18:00,15
2019-07-31 14:19:00,13
2019-07-31 14:20:00,12
2019-07-31 14:21:00,11
2019-07-31 14:22:00,13
2019-07-31 14:23:00,31
2019-07-31 14:24:00,47
2019-07-31 14:25:00,35
2019-07-31 14:26:00,45
2019-07-31 14:27:00,43
2019-07-31 14:28:00,43
2019-07-31 14:29:00,42
2019-07-31 14:30:00,43
2019-07-31 14:31:00,42
2019-07-31 14:32:00,42
2019-07-31 14:33:00,44
2019-07-31 14:34:00,45
2019-07-31 14:35:00,43
2019-07-31 14:36:00,42
2019-07-31 14:37:00,43
2019-07-31 14:38:00,45
2019-07-31 14:39:00,42
2019-07-31 14:40:00,42
2019-07-31 14:41:00,43
2019-07-31 14:42:00,42
2019-07-31 14:43:00,41
2019-07-31 14:44:00,41
2019-07-31 14:45:00,40
2019-07-31 14:46:00,41
2019-07-31 14:47:00,40
2019-07-31 14:48:00,40
2019-07-31 14:49:00,41
2019-07-31 14:50:00,39
2019-07-31 14:51:00,26
2019-07-31 14:52:00,18
2019-07-31 14:53:00,25
2019-07-31 14:54:00,22
2019-07-31 14:55:00,15
2019-07-31 14:56:00,14
2019-07-31 14:57:00,16
