1759,"SELECT DISTINCT po.objid AS phot_id, po.ra AS phot_ra, po.dec AS phot_dec, po.modelmag_i AS modmag_i FROM PhotoPrimary po WHERE ( po.clean = # OR ( ((po.flags & #) != #) AND ((po.flags & #) = #) AND (((po.flags & #) = #) OR (po.psfmagerr_i <= #)) AND (((po.flags & #) = #) OR (po.flags & #) = #) ) ) AND (po.calibStatus_i & #) != # AND po.modelmagerr_i <= # AND po.modelmagerr_i > # AND po.modelmag_i > # AND po.extinction_i <= # AND po.ra BETWEEN # AND #"
2019-07-31 02:16:00,1
2019-07-31 02:17:00,2
2019-07-31 02:18:00,1
2019-07-31 02:19:00,2
2019-07-31 02:20:00,3
2019-07-31 02:21:00,1
2019-07-31 02:22:00,2
2019-07-31 02:23:00,2
2019-07-31 02:24:00,2
2019-07-31 02:25:00,1
2019-07-31 02:26:00,2
2019-07-31 02:27:00,2
2019-07-31 02:28:00,2
2019-07-31 02:29:00,2
2019-07-31 02:30:00,2
2019-07-31 02:31:00,2
2019-07-31 02:32:00,2
2019-07-31 02:33:00,1
2019-07-31 02:34:00,3
2019-07-31 02:35:00,2
2019-07-31 02:36:00,1
2019-07-31 02:37:00,2
2019-07-31 02:38:00,2
2019-07-31 02:39:00,2
2019-07-31 02:40:00,2
2019-07-31 02:41:00,2
2019-07-31 02:42:00,2
2019-07-31 02:43:00,2
2019-07-31 02:44:00,2
2019-07-31 02:45:00,2
2019-07-31 02:46:00,2
2019-07-31 02:47:00,3
2019-07-31 02:48:00,1
2019-07-31 02:49:00,2
2019-07-31 02:50:00,2
2019-07-31 02:51:00,2
2019-07-31 02:52:00,2
2019-07-31 02:53:00,1
2019-07-31 02:54:00,2
2019-07-31 02:55:00,2
2019-07-31 02:56:00,2
2019-07-31 02:57:00,2
2019-07-31 02:58:00,1
2019-07-31 03:01:00,1
2019-07-31 03:02:00,2
2019-07-31 03:03:00,1
2019-07-31 03:04:00,2
2019-07-31 03:05:00,1
2019-07-31 03:06:00,2
2019-07-31 03:07:00,1
2019-07-31 03:08:00,1
2019-07-31 03:09:00,2
2019-07-31 03:10:00,1
2019-07-31 03:11:00,2
2019-07-31 03:12:00,1
2019-07-31 03:13:00,2
2019-07-31 03:14:00,1
2019-07-31 03:15:00,2
2019-07-31 03:16:00,1
2019-07-31 03:17:00,2
2019-07-31 03:18:00,1
2019-07-31 03:19:00,2
2019-07-31 03:20:00,1
2019-07-31 03:21:00,2
2019-07-31 03:22:00,1
2019-07-31 03:23:00,2
2019-07-31 03:24:00,2
2019-07-31 03:25:00,1
2019-07-31 03:26:00,2
2019-07-31 03:27:00,1
2019-07-31 03:28:00,2
2019-07-31 03:29:00,1
2019-07-31 03:30:00,2
2019-07-31 03:31:00,2
2019-07-31 03:32:00,2
2019-07-31 03:33:00,1
2019-07-31 03:34:00,2
