11773,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-07-31 00:05:00,181
2019-07-31 00:06:00,22
2019-07-31 00:07:00,4
2019-07-31 00:10:00,140
2019-07-31 00:11:00,59
2019-07-31 06:19:00,1
2019-07-31 10:18:00,2
2019-07-31 11:48:00,12
2019-07-31 11:49:00,19
2019-07-31 11:50:00,16
2019-07-31 11:51:00,20
2019-07-31 11:52:00,17
2019-07-31 11:53:00,17
2019-07-31 11:54:00,14
2019-07-31 11:55:00,13
2019-07-31 11:56:00,15
2019-07-31 11:57:00,14
2019-07-31 11:58:00,14
2019-07-31 11:59:00,15
2019-07-31 12:00:00,14
2019-07-31 12:01:00,15
2019-07-31 12:02:00,15
2019-07-31 12:03:00,15
2019-07-31 12:04:00,17
2019-07-31 12:05:00,14
2019-07-31 12:06:00,15
2019-07-31 12:07:00,15
2019-07-31 12:08:00,17
2019-07-31 12:09:00,16
2019-07-31 12:10:00,15
2019-07-31 12:11:00,22
2019-07-31 12:12:00,16
2019-07-31 12:13:00,15
2019-07-31 12:14:00,13
2019-07-31 12:15:00,13
2019-07-31 12:16:00,13
2019-07-31 12:17:00,17
2019-07-31 12:18:00,16
2019-07-31 12:19:00,6
2019-07-31 16:30:00,31
2019-07-31 16:31:00,57
2019-07-31 16:32:00,47
2019-07-31 16:33:00,36
2019-07-31 16:34:00,47
2019-07-31 16:35:00,34
2019-07-31 16:36:00,41
2019-07-31 16:37:00,43
2019-07-31 16:38:00,23
2019-07-31 16:39:00,30
2019-07-31 16:40:00,25
2019-07-31 16:41:00,29
2019-07-31 16:42:00,36
2019-07-31 16:43:00,35
2019-07-31 16:44:00,22
2019-07-31 16:45:00,14
2019-07-31 16:46:00,18
2019-07-31 16:47:00,18
2019-07-31 16:48:00,19
2019-07-31 16:49:00,16
2019-07-31 16:50:00,10
2019-07-31 16:51:00,13
2019-07-31 16:52:00,16
2019-07-31 16:53:00,23
2019-07-31 16:54:00,15
2019-07-31 16:55:00,17
2019-07-31 16:56:00,3
2019-07-31 16:57:00,6
2019-07-31 16:58:00,24
2019-07-31 16:59:00,14
2019-07-31 17:00:00,11
2019-07-31 17:01:00,10
2019-07-31 17:02:00,11
2019-07-31 17:03:00,17
2019-07-31 17:04:00,28
2019-07-31 17:05:00,18
2019-07-31 17:06:00,26
2019-07-31 17:07:00,32
2019-07-31 17:08:00,42
2019-07-31 17:09:00,34
2019-07-31 17:10:00,9
2019-07-31 17:11:00,5
2019-07-31 17:12:00,23
2019-07-31 17:13:00,37
2019-07-31 17:14:00,22
2019-07-31 17:15:00,37
2019-07-31 17:16:00,31
2019-07-31 17:17:00,25
2019-07-31 17:18:00,24
2019-07-31 17:19:00,23
2019-07-31 17:20:00,29
2019-07-31 17:21:00,4
2019-07-31 17:22:00,28
2019-07-31 17:23:00,26
2019-07-31 17:24:00,46
2019-07-31 17:25:00,45
2019-07-31 17:26:00,46
2019-07-31 17:27:00,46
2019-07-31 17:28:00,30
2019-07-31 17:29:00,33
2019-07-31 17:30:00,47
2019-07-31 17:31:00,36
2019-07-31 17:32:00,41
2019-07-31 17:33:00,42
2019-07-31 17:34:00,21
2019-07-31 17:35:00,25
2019-07-31 17:36:00,31
2019-07-31 17:37:00,44
2019-07-31 17:38:00,52
2019-07-31 17:39:00,44
2019-07-31 17:40:00,27
2019-07-31 17:41:00,40
2019-07-31 17:42:00,38
2019-07-31 17:43:00,55
2019-07-31 17:44:00,47
2019-07-31 17:45:00,33
2019-07-31 17:46:00,48
2019-07-31 17:47:00,31
2019-07-31 17:48:00,45
2019-07-31 17:49:00,30
2019-07-31 17:50:00,32
2019-07-31 17:51:00,39
2019-07-31 17:52:00,45
2019-07-31 17:53:00,54
2019-07-31 17:54:00,61
2019-07-31 17:55:00,51
2019-07-31 17:56:00,50
2019-07-31 17:57:00,62
2019-07-31 17:58:00,49
2019-07-31 17:59:00,50
2019-07-31 18:00:00,57
2019-07-31 18:01:00,55
2019-07-31 18:02:00,68
2019-07-31 18:03:00,62
2019-07-31 18:04:00,53
2019-07-31 18:05:00,42
2019-07-31 18:06:00,43
2019-07-31 18:07:00,56
2019-07-31 18:08:00,46
2019-07-31 18:09:00,34
2019-07-31 18:10:00,27
2019-07-31 18:11:00,51
2019-07-31 18:12:00,46
2019-07-31 18:13:00,46
2019-07-31 18:14:00,39
2019-07-31 18:15:00,29
2019-07-31 18:16:00,39
2019-07-31 18:17:00,25
2019-07-31 18:18:00,31
2019-07-31 18:19:00,39
2019-07-31 18:20:00,50
2019-07-31 18:21:00,51
2019-07-31 18:22:00,21
2019-07-31 18:23:00,37
2019-07-31 18:24:00,50
2019-07-31 18:25:00,49
2019-07-31 18:26:00,43
2019-07-31 18:27:00,50
2019-07-31 18:28:00,49
2019-07-31 18:29:00,38
2019-07-31 18:30:00,51
2019-07-31 18:31:00,38
2019-07-31 18:32:00,19
2019-07-31 18:33:00,42
2019-07-31 18:34:00,49
2019-07-31 18:35:00,43
2019-07-31 18:36:00,39
2019-07-31 18:37:00,46
2019-07-31 18:38:00,43
2019-07-31 18:39:00,33
2019-07-31 18:40:00,39
2019-07-31 18:41:00,27
2019-07-31 18:42:00,25
2019-07-31 18:43:00,28
2019-07-31 18:44:00,19
2019-07-31 18:45:00,8
2019-07-31 18:46:00,11
2019-07-31 18:47:00,20
2019-07-31 18:48:00,25
2019-07-31 18:49:00,19
2019-07-31 18:50:00,16
2019-07-31 18:51:00,20
2019-07-31 18:52:00,19
2019-07-31 18:53:00,34
2019-07-31 18:54:00,42
2019-07-31 18:55:00,29
2019-07-31 18:56:00,25
2019-07-31 18:57:00,33
2019-07-31 18:58:00,38
2019-07-31 18:59:00,38
2019-07-31 19:00:00,36
2019-07-31 19:01:00,32
2019-07-31 19:02:00,26
2019-07-31 19:03:00,37
2019-07-31 19:04:00,23
2019-07-31 19:05:00,21
2019-07-31 19:06:00,23
2019-07-31 19:07:00,22
2019-07-31 19:08:00,21
2019-07-31 19:09:00,23
2019-07-31 19:10:00,15
2019-07-31 19:11:00,16
2019-07-31 19:12:00,15
2019-07-31 19:13:00,4
2019-07-31 19:14:00,13
2019-07-31 19:15:00,17
2019-07-31 19:16:00,22
2019-07-31 19:17:00,35
2019-07-31 19:18:00,30
2019-07-31 19:19:00,27
2019-07-31 19:20:00,13
2019-07-31 19:21:00,23
2019-07-31 19:22:00,19
2019-07-31 19:23:00,40
2019-07-31 19:24:00,54
2019-07-31 19:25:00,33
2019-07-31 19:26:00,20
2019-07-31 19:27:00,10
2019-07-31 19:28:00,4
2019-07-31 19:29:00,3
2019-07-31 19:36:00,23
2019-07-31 19:37:00,43
2019-07-31 19:38:00,49
2019-07-31 19:39:00,49
2019-07-31 19:40:00,46
2019-07-31 19:41:00,36
2019-07-31 19:42:00,48
2019-07-31 19:43:00,36
2019-07-31 19:44:00,19
2019-07-31 19:45:00,30
2019-07-31 19:46:00,47
2019-07-31 19:47:00,37
2019-07-31 19:48:00,54
2019-07-31 19:49:00,37
2019-07-31 19:50:00,48
2019-07-31 19:51:00,45
2019-07-31 19:52:00,45
2019-07-31 19:53:00,37
2019-07-31 19:54:00,35
2019-07-31 19:55:00,46
2019-07-31 19:56:00,37
2019-07-31 19:57:00,27
2019-07-31 19:58:00,22
2019-07-31 19:59:00,18
2019-07-31 20:00:00,10
2019-07-31 20:01:00,22
2019-07-31 20:02:00,35
2019-07-31 20:03:00,38
2019-07-31 20:04:00,35
2019-07-31 20:05:00,32
2019-07-31 20:06:00,28
2019-07-31 20:07:00,39
2019-07-31 20:08:00,45
2019-07-31 20:09:00,46
2019-07-31 20:10:00,33
2019-07-31 20:11:00,42
2019-07-31 20:12:00,38
2019-07-31 20:13:00,41
2019-07-31 20:14:00,47
2019-07-31 20:15:00,44
2019-07-31 20:16:00,35
2019-07-31 20:17:00,20
2019-07-31 20:18:00,27
2019-07-31 20:19:00,22
2019-07-31 20:20:00,16
2019-07-31 20:21:00,26
2019-07-31 20:22:00,16
2019-07-31 20:23:00,14
2019-07-31 20:24:00,20
2019-07-31 20:25:00,18
2019-07-31 20:26:00,13
2019-07-31 20:27:00,18
2019-07-31 20:28:00,24
2019-07-31 20:29:00,29
2019-07-31 20:30:00,16
2019-07-31 20:31:00,4
2019-07-31 20:32:00,3
2019-07-31 20:33:00,6
2019-07-31 20:34:00,2
2019-07-31 20:35:00,2
2019-07-31 20:36:00,18
2019-07-31 20:37:00,17
2019-07-31 20:38:00,24
2019-07-31 20:39:00,24
2019-07-31 20:40:00,25
2019-07-31 20:41:00,19
2019-07-31 20:42:00,17
2019-07-31 20:43:00,17
2019-07-31 20:44:00,37
2019-07-31 20:45:00,54
2019-07-31 20:46:00,43
2019-07-31 20:47:00,42
2019-07-31 20:48:00,41
2019-07-31 20:49:00,28
2019-07-31 20:50:00,34
2019-07-31 20:51:00,32
2019-07-31 20:52:00,35
2019-07-31 20:53:00,32
2019-07-31 20:54:00,45
2019-07-31 20:55:00,47
2019-07-31 20:56:00,23
2019-07-31 20:57:00,17
2019-07-31 20:58:00,18
2019-07-31 20:59:00,19
2019-07-31 21:00:00,22
2019-07-31 21:01:00,19
2019-07-31 21:02:00,20
2019-07-31 21:03:00,18
2019-07-31 21:04:00,19
2019-07-31 21:05:00,18
2019-07-31 21:06:00,16
2019-07-31 21:07:00,16
2019-07-31 21:08:00,23
2019-07-31 21:09:00,19
2019-07-31 21:10:00,18
