22136,"SELECT aa_r,kk_r,airmass_r,gain_r,sky_r,skysig_r FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-07-31 01:23:00,1
2019-07-31 01:24:00,2
2019-07-31 01:44:00,2
2019-07-31 01:45:00,4
2019-07-31 01:46:00,4
2019-07-31 03:46:00,10
2019-07-31 06:45:00,83
2019-07-31 07:10:00,129
2019-07-31 07:11:00,200
2019-07-31 07:12:00,247
2019-07-31 07:13:00,271
2019-07-31 07:14:00,212
2019-07-31 07:15:00,219
2019-07-31 07:16:00,197
2019-07-31 07:17:00,198
2019-07-31 07:18:00,193
2019-07-31 07:19:00,191
2019-07-31 07:20:00,196
2019-07-31 07:21:00,192
2019-07-31 07:22:00,201
2019-07-31 07:23:00,202
2019-07-31 07:24:00,217
2019-07-31 07:25:00,159
2019-07-31 07:26:00,175
2019-07-31 07:27:00,175
2019-07-31 07:28:00,165
2019-07-31 07:29:00,179
2019-07-31 07:30:00,166
2019-07-31 07:31:00,166
2019-07-31 07:32:00,172
2019-07-31 07:33:00,177
2019-07-31 07:34:00,210
2019-07-31 07:35:00,207
2019-07-31 07:36:00,174
2019-07-31 07:38:00,222
2019-07-31 07:39:00,255
2019-07-31 07:40:00,247
2019-07-31 07:49:00,234
2019-07-31 07:50:00,194
2019-07-31 07:51:00,208
2019-07-31 07:52:00,200
2019-07-31 07:53:00,190
2019-07-31 07:54:00,202
2019-07-31 07:55:00,193
2019-07-31 07:56:00,202
2019-07-31 07:57:00,197
2019-07-31 07:58:00,197
2019-07-31 07:59:00,199
2019-07-31 08:00:00,201
2019-07-31 08:01:00,194
2019-07-31 08:02:00,200
2019-07-31 08:03:00,192
2019-07-31 08:04:00,186
2019-07-31 08:05:00,148
2019-07-31 08:06:00,186
2019-07-31 08:07:00,188
2019-07-31 08:08:00,3
2019-07-31 08:25:00,5
2019-07-31 08:38:00,84
2019-07-31 08:39:00,212
2019-07-31 08:40:00,196
2019-07-31 08:41:00,185
2019-07-31 08:42:00,182
2019-07-31 08:43:00,199
2019-07-31 08:44:00,205
2019-07-31 08:45:00,200
2019-07-31 08:46:00,190
2019-07-31 08:47:00,192
2019-07-31 08:48:00,189
2019-07-31 08:49:00,194
2019-07-31 08:50:00,187
2019-07-31 08:51:00,194
2019-07-31 08:52:00,188
2019-07-31 08:53:00,193
2019-07-31 08:54:00,178
2019-07-31 08:55:00,181
2019-07-31 08:56:00,181
2019-07-31 08:57:00,184
2019-07-31 08:58:00,188
2019-07-31 08:59:00,194
2019-07-31 09:00:00,187
2019-07-31 09:01:00,188
2019-07-31 09:02:00,195
2019-07-31 09:03:00,185
2019-07-31 09:04:00,196
2019-07-31 09:05:00,175
2019-07-31 09:06:00,191
2019-07-31 09:07:00,200
2019-07-31 09:08:00,187
2019-07-31 09:09:00,186
2019-07-31 09:10:00,188
2019-07-31 09:11:00,194
2019-07-31 09:12:00,184
2019-07-31 09:13:00,190
2019-07-31 09:14:00,200
2019-07-31 09:15:00,179
2019-07-31 09:16:00,181
2019-07-31 09:17:00,182
2019-07-31 09:18:00,185
2019-07-31 09:19:00,196
2019-07-31 09:20:00,176
2019-07-31 09:21:00,188
2019-07-31 09:22:00,181
2019-07-31 09:23:00,83
2019-07-31 09:48:00,208
2019-07-31 09:49:00,195
2019-07-31 09:50:00,197
2019-07-31 09:51:00,197
2019-07-31 09:52:00,191
2019-07-31 09:53:00,200
2019-07-31 09:54:00,199
2019-07-31 09:55:00,187
2019-07-31 09:56:00,191
2019-07-31 09:57:00,202
2019-07-31 09:58:00,190
2019-07-31 09:59:00,190
2019-07-31 10:00:00,193
2019-07-31 10:01:00,197
2019-07-31 10:02:00,207
2019-07-31 10:03:00,197
2019-07-31 10:04:00,113
2019-07-31 10:05:00,32
2019-07-31 10:06:00,35
2019-07-31 10:07:00,26
2019-07-31 10:08:00,22
2019-07-31 10:09:00,24
2019-07-31 10:10:00,24
2019-07-31 10:11:00,22
2019-07-31 10:12:00,22
2019-07-31 10:13:00,22
2019-07-31 10:14:00,26
2019-07-31 10:15:00,26
2019-07-31 10:16:00,22
2019-07-31 10:17:00,23
2019-07-31 10:18:00,21
2019-07-31 10:19:00,16
2019-07-31 10:20:00,20
2019-07-31 10:21:00,18
2019-07-31 10:22:00,17
2019-07-31 10:23:00,21
2019-07-31 10:24:00,24
2019-07-31 10:25:00,22
2019-07-31 10:26:00,24
2019-07-31 10:27:00,24
2019-07-31 10:28:00,24
2019-07-31 10:29:00,30
2019-07-31 10:30:00,22
2019-07-31 10:31:00,26
2019-07-31 10:32:00,15
