12238,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-07-31 00:00:00,21
2019-07-31 00:01:00,500
2019-07-31 00:02:00,2
2019-07-31 00:03:00,6
2019-07-31 00:04:00,2
2019-07-31 00:05:00,39
2019-07-31 00:08:00,1
2019-07-31 00:09:00,8
2019-07-31 00:10:00,12
2019-07-31 00:11:00,8
2019-07-31 00:12:00,2
2019-07-31 00:13:00,6
2019-07-31 00:14:00,1
2019-07-31 00:15:00,39
2019-07-31 00:19:00,8
2019-07-31 00:20:00,12
2019-07-31 00:21:00,8
2019-07-31 00:22:00,2
2019-07-31 00:23:00,6
2019-07-31 00:24:00,412
2019-07-31 00:25:00,128
2019-07-31 00:29:00,8
2019-07-31 00:30:00,12
2019-07-31 00:31:00,8
2019-07-31 00:32:00,2
2019-07-31 00:33:00,6
2019-07-31 00:34:00,1
2019-07-31 00:35:00,39
2019-07-31 00:39:00,8
2019-07-31 00:40:00,12
2019-07-31 00:41:00,8
2019-07-31 00:42:00,2
2019-07-31 00:43:00,6
2019-07-31 00:44:00,1
2019-07-31 00:45:00,39
2019-07-31 00:49:00,8
2019-07-31 00:50:00,12
2019-07-31 00:51:00,8
2019-07-31 00:52:00,2
2019-07-31 00:53:00,6
2019-07-31 00:54:00,1
2019-07-31 00:55:00,39
2019-07-31 00:59:00,8
2019-07-31 01:00:00,12
2019-07-31 01:01:00,8
2019-07-31 01:02:00,2
2019-07-31 01:03:00,6
2019-07-31 01:04:00,1
2019-07-31 01:05:00,39
2019-07-31 01:09:00,8
2019-07-31 01:10:00,12
2019-07-31 01:11:00,8
2019-07-31 01:12:00,2
2019-07-31 01:13:00,6
2019-07-31 01:14:00,1
2019-07-31 01:15:00,39
2019-07-31 01:19:00,8
2019-07-31 01:20:00,12
2019-07-31 01:21:00,8
2019-07-31 01:22:00,2
2019-07-31 01:23:00,6
2019-07-31 01:24:00,1
2019-07-31 01:25:00,41
2019-07-31 01:29:00,8
2019-07-31 01:30:00,12
2019-07-31 01:31:00,8
2019-07-31 01:32:00,2
2019-07-31 01:33:00,6
2019-07-31 01:34:00,1
2019-07-31 01:35:00,39
2019-07-31 01:39:00,8
2019-07-31 01:40:00,12
2019-07-31 01:41:00,8
2019-07-31 01:42:00,2
2019-07-31 01:43:00,6
2019-07-31 01:44:00,1
2019-07-31 01:45:00,41
2019-07-31 01:49:00,8
2019-07-31 01:50:00,12
2019-07-31 01:51:00,8
2019-07-31 01:52:00,3
2019-07-31 01:53:00,6
2019-07-31 01:54:00,1
2019-07-31 01:55:00,39
2019-07-31 01:59:00,8
2019-07-31 02:00:00,12
2019-07-31 02:01:00,8
2019-07-31 02:02:00,1
2019-07-31 02:03:00,7
2019-07-31 02:04:00,1
2019-07-31 02:05:00,41
2019-07-31 02:09:00,8
2019-07-31 02:10:00,12
2019-07-31 02:11:00,8
2019-07-31 02:12:00,2
2019-07-31 02:13:00,6
2019-07-31 02:14:00,1
2019-07-31 02:15:00,41
2019-07-31 02:19:00,8
2019-07-31 02:20:00,12
2019-07-31 02:21:00,8
2019-07-31 02:22:00,2
2019-07-31 02:23:00,6
2019-07-31 02:24:00,1
2019-07-31 02:25:00,39
2019-07-31 02:28:00,1
2019-07-31 02:29:00,9
2019-07-31 02:30:00,12
2019-07-31 02:31:00,8
2019-07-31 02:32:00,2
2019-07-31 02:33:00,6
2019-07-31 02:34:00,1
2019-07-31 02:35:00,39
2019-07-31 02:39:00,8
2019-07-31 02:40:00,12
2019-07-31 02:41:00,8
2019-07-31 02:42:00,2
2019-07-31 02:43:00,6
2019-07-31 02:44:00,1
2019-07-31 02:45:00,39
2019-07-31 02:49:00,8
2019-07-31 02:50:00,12
2019-07-31 02:51:00,8
2019-07-31 02:52:00,3
2019-07-31 02:53:00,6
2019-07-31 02:54:00,1
2019-07-31 02:55:00,39
2019-07-31 02:59:00,8
2019-07-31 03:00:00,12
2019-07-31 03:01:00,8
2019-07-31 03:02:00,2
2019-07-31 03:03:00,6
2019-07-31 03:04:00,1
2019-07-31 03:05:00,39
2019-07-31 03:09:00,8
2019-07-31 03:10:00,12
2019-07-31 03:11:00,8
2019-07-31 03:13:00,8
2019-07-31 03:14:00,1
2019-07-31 03:15:00,39
2019-07-31 03:19:00,8
2019-07-31 03:20:00,12
2019-07-31 03:21:00,8
2019-07-31 03:23:00,8
2019-07-31 03:24:00,1
2019-07-31 03:25:00,41
2019-07-31 03:29:00,8
2019-07-31 03:30:00,12
2019-07-31 03:31:00,8
2019-07-31 03:33:00,8
2019-07-31 03:34:00,1
2019-07-31 03:35:00,39
2019-07-31 03:39:00,8
2019-07-31 03:40:00,12
2019-07-31 03:41:00,8
2019-07-31 03:43:00,8
2019-07-31 03:44:00,1
2019-07-31 03:45:00,39
2019-07-31 03:49:00,8
2019-07-31 03:50:00,12
2019-07-31 03:51:00,8
2019-07-31 03:53:00,8
2019-07-31 03:54:00,1
2019-07-31 03:55:00,41
2019-07-31 03:59:00,8
2019-07-31 04:00:00,12
2019-07-31 04:01:00,8
2019-07-31 04:03:00,8
2019-07-31 04:04:00,1
2019-07-31 04:05:00,41
2019-07-31 04:09:00,8
2019-07-31 04:10:00,12
2019-07-31 04:11:00,8
2019-07-31 04:13:00,8
2019-07-31 04:14:00,1
2019-07-31 04:15:00,41
2019-07-31 04:19:00,8
2019-07-31 04:20:00,12
2019-07-31 04:21:00,8
2019-07-31 04:23:00,8
2019-07-31 04:24:00,1
2019-07-31 04:25:00,41
2019-07-31 04:29:00,8
2019-07-31 04:30:00,12
2019-07-31 04:31:00,8
2019-07-31 04:33:00,8
2019-07-31 04:34:00,1
2019-07-31 04:35:00,39
2019-07-31 04:39:00,8
2019-07-31 04:40:00,12
2019-07-31 04:41:00,8
2019-07-31 04:43:00,8
2019-07-31 04:44:00,1
2019-07-31 04:45:00,39
2019-07-31 04:49:00,8
2019-07-31 04:50:00,12
2019-07-31 04:51:00,8
2019-07-31 04:53:00,8
2019-07-31 04:54:00,1
2019-07-31 04:55:00,39
2019-07-31 04:59:00,8
2019-07-31 05:00:00,12
2019-07-31 05:01:00,8
2019-07-31 05:03:00,8
2019-07-31 05:04:00,1
2019-07-31 05:05:00,19
2019-07-31 05:09:00,7
2019-07-31 05:10:00,13
2019-07-31 05:11:00,8
2019-07-31 05:13:00,8
2019-07-31 05:14:00,1
2019-07-31 05:15:00,29
2019-07-31 05:16:00,10
2019-07-31 05:19:00,7
2019-07-31 05:20:00,10
2019-07-31 05:21:00,11
2019-07-31 05:23:00,8
2019-07-31 05:24:00,1
2019-07-31 05:25:00,30
2019-07-31 05:26:00,9
2019-07-31 05:29:00,7
2019-07-31 05:30:00,9
2019-07-31 05:31:00,12
2019-07-31 05:33:00,8
2019-07-31 05:34:00,1
2019-07-31 05:35:00,30
2019-07-31 05:36:00,9
2019-07-31 05:39:00,7
2019-07-31 05:40:00,8
2019-07-31 05:41:00,13
2019-07-31 05:43:00,8
2019-07-31 05:44:00,1
2019-07-31 05:45:00,30
2019-07-31 05:46:00,9
2019-07-31 05:49:00,7
2019-07-31 05:50:00,8
2019-07-31 05:51:00,13
2019-07-31 05:53:00,8
2019-07-31 05:54:00,1
2019-07-31 05:55:00,30
2019-07-31 05:56:00,9
2019-07-31 05:59:00,7
2019-07-31 06:00:00,8
