85,"SELECT TOP # &&& + cast(p.objId as varchar(#)) +&&& + cast(p.objId as varchar(#)) + &&& as objID,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-07-31 00:03:00,1
2019-07-31 00:04:00,1
2019-07-31 00:13:00,1
2019-07-31 00:17:00,1
2019-07-31 00:23:00,1
2019-07-31 02:25:00,2
2019-07-31 02:26:00,3
2019-07-31 02:27:00,1
2019-07-31 02:30:00,1
2019-07-31 02:37:00,1
2019-07-31 02:38:00,1
2019-07-31 02:54:00,1
2019-07-31 02:58:00,1
2019-07-31 03:04:00,1
2019-07-31 03:05:00,1
2019-07-31 03:11:00,1
2019-07-31 03:12:00,1
2019-07-31 03:47:00,1
2019-07-31 03:53:00,1
2019-07-31 03:57:00,1
2019-07-31 04:04:00,4
2019-07-31 04:07:00,1
2019-07-31 04:08:00,1
2019-07-31 04:13:00,2
2019-07-31 04:15:00,1
2019-07-31 04:22:00,2
2019-07-31 04:23:00,1
2019-07-31 05:46:00,1
2019-07-31 07:05:00,1
2019-07-31 07:49:00,1
2019-07-31 09:10:00,1
2019-07-31 09:12:00,1
2019-07-31 10:20:00,2
2019-07-31 14:55:00,1
2019-07-31 15:21:00,1
2019-07-31 15:57:00,1
2019-07-31 16:30:00,1
2019-07-31 16:58:00,1
2019-07-31 17:09:00,1
2019-07-31 17:37:00,1
2019-07-31 17:50:00,1
2019-07-31 18:35:00,1
2019-07-31 18:37:00,1
2019-07-31 18:38:00,3
2019-07-31 18:40:00,1
2019-07-31 18:43:00,1
2019-07-31 19:03:00,1
2019-07-31 19:10:00,1
2019-07-31 19:34:00,2
2019-07-31 19:37:00,2
2019-07-31 19:38:00,2
2019-07-31 19:39:00,1
2019-07-31 19:49:00,1
2019-07-31 19:58:00,1
2019-07-31 20:06:00,2
2019-07-31 20:09:00,3
2019-07-31 20:10:00,1
2019-07-31 20:11:00,1
2019-07-31 20:18:00,1
2019-07-31 20:19:00,1
2019-07-31 20:22:00,1
2019-07-31 21:00:00,1
2019-07-31 21:59:00,1
2019-07-31 22:11:00,1
2019-07-31 22:27:00,1
2019-07-31 22:39:00,1
2019-07-31 23:06:00,1
2019-07-31 23:23:00,1
