18,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-07-05 07:28:00,1
2019-07-05 07:33:00,1
2019-07-05 07:35:00,1
2019-07-05 10:10:00,1
2019-07-05 11:30:00,1
2019-07-05 11:32:00,1
2019-07-05 11:35:00,1
2019-07-05 11:39:00,1
2019-07-05 11:41:00,1
2019-07-05 11:43:00,1
2019-07-05 12:20:00,1
2019-07-05 12:30:00,1
2019-07-05 12:44:00,1
2019-07-05 20:04:00,1
2019-07-05 20:07:00,1
2019-07-05 20:10:00,1
2019-07-05 20:13:00,1
2019-07-05 20:21:00,1
