215,select
2019-07-05 00:10:00,3
2019-07-05 00:37:00,3
2019-07-05 01:04:00,3
2019-07-05 01:19:00,1
2019-07-05 01:30:00,3
2019-07-05 02:31:00,2
2019-07-05 02:36:00,3
2019-07-05 04:08:00,3
2019-07-05 04:38:00,3
2019-07-05 05:35:00,3
2019-07-05 05:48:00,3
2019-07-05 06:11:00,3
2019-07-05 06:59:00,3
2019-07-05 07:07:00,3
2019-07-05 07:16:00,3
2019-07-05 07:42:00,3
2019-07-05 07:48:00,1
2019-07-05 07:49:00,2
2019-07-05 08:04:00,1
2019-07-05 08:05:00,2
2019-07-05 08:20:00,3
2019-07-05 08:26:00,1
2019-07-05 08:27:00,2
2019-07-05 08:48:00,3
2019-07-05 08:54:00,3
2019-07-05 09:15:00,1
2019-07-05 09:16:00,2
2019-07-05 09:43:00,3
2019-07-05 10:09:00,3
2019-07-05 10:16:00,3
2019-07-05 10:22:00,3
2019-07-05 10:30:00,3
2019-07-05 10:35:00,3
2019-07-05 10:41:00,3
2019-07-05 11:06:00,2
2019-07-05 11:11:00,3
2019-07-05 11:23:00,2
2019-07-05 11:24:00,1
2019-07-05 11:35:00,3
2019-07-05 11:47:00,3
2019-07-05 11:52:00,3
2019-07-05 12:04:00,1
2019-07-05 12:05:00,2
2019-07-05 12:15:00,3
2019-07-05 12:20:00,3
2019-07-05 12:26:00,3
2019-07-05 12:31:00,3
2019-07-05 12:41:00,3
2019-07-05 12:46:00,2
2019-07-05 12:47:00,1
2019-07-05 12:51:00,3
2019-07-05 12:56:00,3
2019-07-05 13:06:00,3
2019-07-05 13:11:00,3
2019-07-05 13:21:00,3
2019-07-05 13:36:00,3
2019-07-05 13:41:00,2
2019-07-05 13:42:00,1
2019-07-05 13:46:00,3
2019-07-05 13:56:00,3
2019-07-05 14:06:00,3
2019-07-05 14:11:00,3
2019-07-05 14:16:00,3
2019-07-05 14:21:00,3
2019-07-05 14:26:00,3
2019-07-05 14:36:00,3
2019-07-05 14:41:00,3
2019-07-05 14:46:00,3
2019-07-05 14:51:00,1
2019-07-05 14:52:00,2
2019-07-05 14:58:00,3
2019-07-05 15:03:00,3
2019-07-05 16:05:00,3
2019-07-05 16:54:00,3
2019-07-05 17:48:00,3
2019-07-05 19:17:00,3
2019-07-05 19:46:00,3
2019-07-05 20:15:00,3
2019-07-05 20:46:00,3
2019-07-05 22:14:00,3
2019-07-05 22:41:00,3
2019-07-05 23:08:00,3
