1387,"SELECT  top # &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID"
2019-07-05 00:02:00,8
2019-07-05 00:03:00,1
2019-07-05 00:08:00,1
2019-07-05 00:12:00,7
2019-07-05 00:13:00,1
2019-07-05 00:18:00,2
2019-07-05 00:22:00,7
2019-07-05 00:23:00,1
2019-07-05 00:28:00,1
2019-07-05 00:32:00,7
2019-07-05 00:33:00,1
2019-07-05 00:38:00,1
2019-07-05 00:42:00,7
2019-07-05 00:43:00,1
2019-07-05 00:48:00,1
2019-07-05 00:52:00,7
2019-07-05 00:53:00,1
2019-07-05 00:58:00,1
2019-07-05 01:02:00,7
2019-07-05 01:03:00,1
2019-07-05 01:08:00,2
2019-07-05 01:12:00,7
2019-07-05 01:13:00,1
2019-07-05 01:18:00,1
2019-07-05 01:22:00,8
2019-07-05 01:23:00,2
2019-07-05 01:28:00,1
2019-07-05 01:32:00,8
2019-07-05 01:33:00,1
2019-07-05 01:38:00,1
2019-07-05 01:42:00,8
2019-07-05 01:43:00,1
2019-07-05 01:48:00,1
2019-07-05 01:52:00,8
2019-07-05 01:53:00,1
2019-07-05 01:58:00,1
2019-07-05 02:02:00,7
2019-07-05 02:03:00,1
2019-07-05 02:08:00,1
2019-07-05 02:12:00,7
2019-07-05 02:13:00,1
2019-07-05 02:18:00,1
2019-07-05 02:22:00,8
2019-07-05 02:23:00,1
2019-07-05 02:28:00,1
2019-07-05 02:32:00,7
2019-07-05 02:33:00,1
2019-07-05 02:38:00,1
2019-07-05 02:42:00,7
2019-07-05 02:43:00,1
2019-07-05 02:48:00,1
2019-07-05 02:52:00,9
2019-07-05 02:53:00,1
2019-07-05 02:58:00,1
2019-07-05 03:02:00,7
2019-07-05 03:03:00,1
2019-07-05 03:08:00,1
2019-07-05 03:12:00,7
2019-07-05 03:13:00,1
2019-07-05 03:18:00,1
2019-07-05 03:22:00,7
2019-07-05 03:23:00,1
2019-07-05 03:28:00,1
2019-07-05 03:32:00,8
2019-07-05 03:33:00,1
2019-07-05 03:38:00,1
2019-07-05 03:42:00,8
2019-07-05 03:43:00,1
2019-07-05 03:48:00,1
2019-07-05 03:52:00,7
2019-07-05 03:53:00,1
2019-07-05 03:58:00,1
2019-07-05 04:02:00,7
2019-07-05 04:03:00,1
2019-07-05 04:08:00,1
2019-07-05 04:12:00,8
2019-07-05 04:13:00,1
2019-07-05 04:18:00,1
2019-07-05 04:22:00,7
2019-07-05 04:23:00,1
2019-07-05 04:28:00,1
2019-07-05 04:32:00,7
2019-07-05 04:33:00,1
2019-07-05 04:38:00,1
2019-07-05 04:42:00,7
2019-07-05 04:43:00,1
2019-07-05 04:48:00,1
2019-07-05 04:52:00,7
2019-07-05 04:53:00,1
2019-07-05 04:58:00,1
2019-07-05 05:02:00,7
2019-07-05 05:03:00,1
2019-07-05 05:08:00,1
2019-07-05 05:12:00,7
2019-07-05 05:13:00,1
2019-07-05 05:18:00,1
2019-07-05 05:22:00,7
2019-07-05 05:23:00,1
2019-07-05 05:28:00,1
2019-07-05 05:32:00,7
2019-07-05 05:33:00,1
2019-07-05 05:38:00,1
2019-07-05 05:42:00,7
2019-07-05 05:43:00,1
2019-07-05 05:48:00,1
2019-07-05 05:52:00,7
2019-07-05 05:53:00,1
2019-07-05 05:58:00,1
2019-07-05 06:02:00,8
2019-07-05 06:03:00,1
2019-07-05 06:08:00,1
2019-07-05 06:13:00,10
2019-07-05 06:18:00,1
2019-07-05 06:22:00,1
2019-07-05 06:23:00,7
2019-07-05 06:28:00,1
2019-07-05 06:32:00,1
2019-07-05 06:33:00,7
2019-07-05 06:38:00,1
2019-07-05 06:42:00,1
2019-07-05 06:43:00,7
2019-07-05 06:48:00,2
2019-07-05 06:53:00,8
2019-07-05 06:58:00,1
2019-07-05 07:03:00,10
2019-07-05 07:08:00,1
2019-07-05 07:13:00,8
2019-07-05 07:18:00,1
2019-07-05 07:23:00,9
2019-07-05 07:28:00,1
2019-07-05 07:33:00,8
2019-07-05 07:38:00,1
2019-07-05 07:43:00,9
2019-07-05 07:48:00,1
2019-07-05 07:53:00,8
2019-07-05 07:58:00,1
2019-07-05 08:03:00,7
2019-07-05 08:04:00,1
2019-07-05 08:08:00,2
2019-07-05 08:13:00,7
2019-07-05 08:14:00,1
2019-07-05 08:18:00,1
2019-07-05 08:23:00,7
2019-07-05 08:24:00,1
