202,SELECT DISTINCT p.modelMag_r FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))
2019-07-05 00:25:00,1
2019-07-05 00:26:00,1
2019-07-05 08:44:00,1
2019-07-05 08:45:00,1
2019-07-05 08:46:00,2
2019-07-05 08:47:00,1
2019-07-05 08:48:00,2
2019-07-05 08:49:00,1
2019-07-05 08:50:00,1
2019-07-05 08:51:00,3
2019-07-05 08:52:00,1
2019-07-05 08:53:00,1
2019-07-05 08:54:00,1
2019-07-05 08:55:00,2
2019-07-05 08:56:00,3
2019-07-05 08:57:00,1
2019-07-05 08:58:00,4
2019-07-05 08:59:00,1
2019-07-05 09:00:00,1
2019-07-05 09:01:00,9
2019-07-05 09:02:00,6
2019-07-05 09:03:00,2
2019-07-05 09:05:00,1
2019-07-05 09:06:00,7
2019-07-05 09:08:00,5
2019-07-05 09:09:00,5
2019-07-05 09:11:00,7
2019-07-05 09:13:00,1
2019-07-05 09:14:00,4
2019-07-05 09:18:00,5
2019-07-05 09:20:00,1
2019-07-05 09:21:00,3
2019-07-05 09:22:00,8
2019-07-05 09:24:00,1
2019-07-05 09:25:00,13
2019-07-05 09:28:00,5
2019-07-05 09:29:00,1
2019-07-05 09:30:00,2
2019-07-05 09:31:00,2
2019-07-05 09:32:00,1
2019-07-05 09:33:00,5
2019-07-05 09:34:00,2
2019-07-05 09:36:00,3
2019-07-05 09:37:00,4
2019-07-05 09:38:00,2
2019-07-05 09:39:00,1
2019-07-05 09:40:00,6
2019-07-05 09:41:00,8
2019-07-05 09:44:00,2
2019-07-05 09:45:00,6
2019-07-05 09:46:00,9
2019-07-05 09:49:00,36
