481,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-07-05 05:02:00,2
2019-07-05 05:03:00,5
2019-07-05 05:04:00,5
2019-07-05 05:05:00,5
2019-07-05 05:06:00,5
2019-07-05 05:07:00,4
2019-07-05 05:08:00,13
2019-07-05 05:09:00,14
2019-07-05 05:10:00,14
2019-07-05 05:11:00,15
2019-07-05 05:12:00,5
2019-07-05 05:13:00,5
2019-07-05 05:14:00,5
2019-07-05 05:15:00,5
2019-07-05 05:16:00,5
2019-07-05 05:17:00,5
2019-07-05 05:18:00,5
2019-07-05 05:19:00,5
2019-07-05 05:20:00,5
2019-07-05 05:21:00,5
2019-07-05 05:22:00,4
2019-07-05 05:27:00,4
2019-07-05 10:11:00,1
2019-07-05 10:13:00,8
2019-07-05 10:14:00,12
2019-07-05 10:15:00,13
2019-07-05 10:16:00,13
2019-07-05 10:17:00,13
2019-07-05 10:18:00,13
2019-07-05 10:19:00,12
2019-07-05 10:20:00,13
2019-07-05 10:21:00,13
2019-07-05 10:22:00,13
2019-07-05 10:23:00,13
2019-07-05 10:24:00,13
2019-07-05 10:25:00,12
2019-07-05 10:26:00,13
2019-07-05 10:27:00,13
2019-07-05 10:28:00,13
2019-07-05 10:29:00,13
2019-07-05 10:30:00,13
2019-07-05 10:31:00,12
2019-07-05 10:32:00,13
2019-07-05 10:33:00,13
2019-07-05 10:34:00,13
2019-07-05 10:35:00,13
2019-07-05 10:36:00,5
2019-07-05 18:00:00,2
2019-07-05 18:01:00,5
2019-07-05 18:02:00,5
2019-07-05 18:03:00,5
2019-07-05 18:04:00,10
2019-07-05 18:05:00,11
2019-07-05 18:06:00,5
2019-07-05 18:07:00,2
