29,"SELECT TOP #  p.run,p.rerun,p.camCol,p.field,p.obj,cast(str(p.ra,#,#) as float) as ra,cast(str(p.[dec],#,#) as float) as dec,p.r  FROM ..PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = P.objID  WHERE ( p.type = # OR p.type = #)"
2019-07-05 16:42:00,3
2019-07-05 16:43:00,2
2019-07-05 16:45:00,2
2019-07-05 16:46:00,2
2019-07-05 16:47:00,2
2019-07-05 16:51:00,3
2019-07-05 16:52:00,1
2019-07-05 17:03:00,1
2019-07-05 17:07:00,1
2019-07-05 17:10:00,3
2019-07-05 17:11:00,1
2019-07-05 17:12:00,1
2019-07-05 17:13:00,1
2019-07-05 17:50:00,1
2019-07-05 17:51:00,2
2019-07-05 17:52:00,2
2019-07-05 20:20:00,1
