72,"select P.objID, P.ra, P.dec , P.u, P.g, P.r, P.i, P.z, P.type from PhotoPrimary as P , dbo.fGetNearbyObjEq(#, #, # ) N where P.objID = N.objID"
2019-02-19 11:28:00,2
2019-02-19 11:29:00,8
2019-02-19 11:30:00,9
2019-02-19 11:31:00,4
2019-02-19 11:32:00,1
2019-02-19 12:05:00,11
2019-02-19 12:06:00,9
2019-02-19 12:07:00,4
2019-02-19 13:50:00,1
2019-02-19 13:51:00,1
2019-02-19 13:52:00,1
2019-02-19 13:53:00,2
2019-02-19 13:54:00,2
2019-02-19 13:55:00,1
2019-02-19 13:56:00,1
2019-02-19 13:57:00,1
2019-02-19 13:58:00,4
2019-02-19 13:59:00,1
2019-02-19 14:04:00,1
2019-02-19 14:05:00,1
2019-02-19 14:06:00,1
2019-02-19 14:07:00,1
2019-02-19 14:08:00,1
2019-02-19 14:10:00,1
2019-02-19 14:11:00,1
2019-02-19 14:12:00,1
2019-02-19 14:13:00,1
