1397,"SELECT p.ra,p.dec,   p.psfmag_g,p.psfMagErr_g,   p.psfmag_r,p.psfMagErr_r,   p.psfmag_i,p.psfMagErr_i,   p.psfmag_z,p.psfMagErr_z,   f.mjd_r,f.mjd_g,f.mjd_i,f.mjd_z   FROM PhotoObjAll p   JOIN field as f on p.fieldid = f.fieldid   WHERE ra between # and #   and dec between # and #   and p.parentID = #   order by f.mjd_r"
2019-02-19 19:30:00,37
2019-02-19 19:31:00,121
2019-02-19 19:32:00,121
2019-02-19 19:33:00,107
2019-02-19 19:34:00,100
2019-02-19 19:35:00,126
2019-02-19 19:36:00,72
2019-02-19 19:37:00,109
2019-02-19 19:38:00,107
2019-02-19 19:39:00,111
2019-02-19 19:40:00,97
2019-02-19 19:41:00,123
2019-02-19 19:42:00,124
2019-02-19 19:43:00,42
