75,select top # * from SciServerLog.Messages
2019-02-19 12:13:00,1
2019-02-19 12:14:00,6
2019-02-19 12:15:00,4
2019-02-19 12:16:00,2
2019-02-19 12:22:00,4
2019-02-19 12:23:00,3
2019-02-19 12:24:00,1
2019-02-19 12:25:00,3
2019-02-19 12:26:00,3
2019-02-19 12:27:00,3
2019-02-19 12:28:00,4
2019-02-19 12:29:00,2
2019-02-19 12:30:00,2
2019-02-19 12:31:00,1
2019-02-19 12:32:00,4
2019-02-19 12:33:00,4
2019-02-19 12:34:00,5
2019-02-19 12:35:00,3
2019-02-19 12:36:00,5
2019-02-19 12:38:00,2
2019-02-19 12:39:00,5
2019-02-19 12:40:00,4
2019-02-19 13:26:00,1
2019-02-19 13:28:00,1
2019-02-19 13:30:00,1
2019-02-19 13:31:00,1
