2513,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-02-19 05:31:00,2
2019-02-19 11:03:00,20
2019-02-19 11:04:00,29
2019-02-19 11:05:00,28
2019-02-19 11:06:00,27
2019-02-19 11:07:00,26
2019-02-19 11:08:00,29
2019-02-19 11:09:00,36
2019-02-19 11:10:00,34
2019-02-19 11:11:00,35
2019-02-19 11:12:00,33
2019-02-19 11:13:00,28
2019-02-19 11:14:00,33
2019-02-19 11:15:00,23
2019-02-19 11:16:00,19
2019-02-19 11:18:00,8
2019-02-19 11:19:00,29
2019-02-19 11:20:00,30
2019-02-19 11:21:00,24
2019-02-19 11:22:00,28
2019-02-19 11:23:00,25
2019-02-19 11:24:00,22
2019-02-19 11:25:00,22
2019-02-19 11:26:00,30
2019-02-19 11:27:00,31
2019-02-19 11:28:00,29
2019-02-19 11:29:00,6
2019-02-19 11:31:00,6
2019-02-19 11:32:00,31
2019-02-19 11:33:00,25
2019-02-19 11:34:00,30
2019-02-19 11:35:00,26
2019-02-19 11:36:00,28
2019-02-19 11:37:00,29
2019-02-19 11:38:00,29
2019-02-19 11:39:00,29
2019-02-19 11:40:00,28
2019-02-19 11:41:00,30
2019-02-19 11:42:00,27
2019-02-19 11:43:00,31
2019-02-19 11:44:00,30
2019-02-19 11:45:00,3
2019-02-19 11:46:00,24
2019-02-19 11:47:00,24
2019-02-19 11:48:00,21
2019-02-19 11:49:00,21
2019-02-19 11:50:00,22
2019-02-19 11:51:00,25
2019-02-19 11:52:00,24
2019-02-19 11:53:00,25
2019-02-19 11:54:00,25
2019-02-19 11:55:00,21
2019-02-19 11:56:00,17
2019-02-19 11:57:00,20
2019-02-19 11:58:00,24
2019-02-19 11:59:00,21
2019-02-19 12:00:00,18
2019-02-19 12:01:00,23
2019-02-19 12:02:00,40
2019-02-19 12:03:00,37
2019-02-19 12:04:00,40
2019-02-19 12:05:00,38
2019-02-19 12:06:00,49
2019-02-19 12:07:00,51
2019-02-19 12:08:00,38
2019-02-19 12:09:00,45
2019-02-19 12:10:00,33
2019-02-19 12:11:00,28
2019-02-19 12:12:00,26
2019-02-19 12:13:00,27
2019-02-19 12:14:00,30
2019-02-19 12:15:00,29
2019-02-19 12:16:00,31
2019-02-19 12:17:00,24
2019-02-19 12:19:00,8
2019-02-19 12:20:00,31
2019-02-19 12:21:00,31
2019-02-19 12:22:00,34
2019-02-19 12:23:00,34
2019-02-19 12:24:00,30
2019-02-19 12:25:00,28
2019-02-19 12:26:00,26
2019-02-19 12:27:00,4
2019-02-19 12:31:00,4
2019-02-19 12:32:00,25
2019-02-19 12:33:00,29
2019-02-19 12:34:00,12
2019-02-19 13:01:00,2
2019-02-19 13:02:00,25
2019-02-19 13:03:00,27
2019-02-19 13:04:00,12
2019-02-19 14:01:00,4
2019-02-19 14:31:00,4
2019-02-19 14:32:00,32
2019-02-19 14:33:00,32
2019-02-19 14:34:00,31
2019-02-19 14:35:00,1
2019-02-19 15:01:00,1
2019-02-19 15:02:00,28
2019-02-19 15:03:00,26
2019-02-19 19:02:00,1
2019-02-19 20:01:00,1
2019-02-19 20:02:00,1
