47,"SELECT TOP # g.l,  g.b,  s.z as redshift, g.u, g.err_u,  g.g,  g.err_g,  g.r,  g.err_r,  g.i,  g.err_i,  g.z,  g.err_z,  g.extinction_g,  g.extinction_r      FROM  Galaxy AS g  JOIN SpecObj as s ON s.specObjID = g.specObjID  WHERE  g.l between # and # and  g.b between # and # and  g.petroR9#_i/g.petroR5#_i > #  and ((flags & #) = #) and s.z > #"
2019-02-19 00:14:00,1
2019-02-19 00:15:00,1
2019-02-19 09:51:00,2
2019-02-19 10:05:00,1
2019-02-19 10:12:00,2
2019-02-19 10:13:00,2
2019-02-19 10:23:00,2
2019-02-19 10:29:00,2
2019-02-19 10:30:00,2
2019-02-19 10:32:00,2
2019-02-19 10:33:00,2
2019-02-19 10:35:00,2
2019-02-19 18:58:00,2
2019-02-19 19:12:00,2
2019-02-19 19:35:00,2
2019-02-19 19:45:00,2
2019-02-19 19:51:00,2
2019-02-19 20:03:00,2
2019-02-19 20:06:00,2
2019-02-19 20:07:00,2
2019-02-19 20:09:00,2
2019-02-19 20:18:00,2
2019-02-19 20:20:00,2
2019-02-19 20:23:00,2
2019-02-19 20:32:00,1
2019-02-19 20:33:00,1
