26916,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, P.z as redshift, p.zErr as redshift_err, G.modelMag_u as MODEL_MAG_U, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R, G.modelMag_i as MODEL_MAG_I, G.modelMag_z as MODEL_MAG_Z, G.modelMagErr_u as MODEL_MAG_U_err, G.modelMagErr_g as MODEL_MAG_G_err, G.modelMagErr_r as MODEL_MAG_R_err, G.modelMagErr_i as MODEL_MAG_I_err, G.modelMagErr_z as MODEL_MAG_Z_err, P.absMagU, P.absMagG, P.absMagR, P.absMagI, P.absMagZ FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID"
2019-02-02 00:00:00,24
2019-02-02 00:01:00,24
2019-02-02 00:02:00,23
2019-02-02 00:03:00,24
2019-02-02 00:04:00,23
2019-02-02 00:05:00,24
2019-02-02 00:06:00,12
2019-02-02 00:07:00,23
2019-02-02 00:08:00,23
2019-02-02 00:09:00,22
2019-02-02 00:10:00,22
2019-02-02 00:11:00,23
2019-02-02 00:12:00,22
2019-02-02 00:13:00,21
2019-02-02 00:14:00,22
2019-02-02 00:15:00,21
2019-02-02 00:16:00,21
2019-02-02 00:17:00,20
2019-02-02 00:18:00,21
2019-02-02 00:19:00,20
2019-02-02 00:20:00,20
2019-02-02 00:21:00,20
2019-02-02 00:22:00,20
2019-02-02 00:23:00,20
2019-02-02 00:24:00,19
2019-02-02 00:25:00,20
2019-02-02 00:26:00,19
2019-02-02 00:27:00,8
2019-02-02 00:28:00,19
2019-02-02 00:29:00,18
2019-02-02 00:30:00,19
2019-02-02 00:31:00,20
2019-02-02 00:32:00,19
2019-02-02 00:33:00,18
2019-02-02 00:34:00,18
2019-02-02 00:35:00,19
2019-02-02 00:36:00,18
2019-02-02 00:37:00,18
2019-02-02 00:38:00,18
2019-02-02 00:39:00,2
2019-02-02 00:57:00,6
2019-02-02 00:58:00,3
2019-02-02 00:59:00,2
2019-02-02 01:01:00,12
2019-02-02 01:02:00,11
2019-02-02 01:03:00,37
2019-02-02 01:04:00,38
2019-02-02 01:05:00,40
2019-02-02 01:06:00,39
2019-02-02 01:07:00,37
2019-02-02 01:08:00,36
2019-02-02 01:09:00,39
2019-02-02 01:10:00,36
2019-02-02 01:11:00,38
2019-02-02 01:12:00,15
2019-02-02 01:13:00,52
2019-02-02 01:14:00,48
2019-02-02 01:15:00,42
2019-02-02 01:16:00,54
2019-02-02 01:17:00,53
2019-02-02 01:18:00,52
2019-02-02 01:19:00,52
2019-02-02 01:20:00,52
2019-02-02 01:21:00,51
2019-02-02 01:22:00,43
2019-02-02 01:23:00,40
2019-02-02 01:24:00,41
2019-02-02 01:25:00,39
2019-02-02 01:26:00,40
2019-02-02 01:27:00,4
2019-02-02 03:16:00,4
2019-02-02 03:45:00,21
2019-02-02 03:46:00,32
2019-02-02 03:47:00,33
2019-02-02 03:48:00,33
2019-02-02 03:49:00,33
2019-02-02 03:50:00,37
2019-02-02 03:51:00,36
2019-02-02 03:52:00,35
2019-02-02 03:53:00,37
2019-02-02 03:54:00,34
2019-02-02 03:55:00,36
2019-02-02 03:56:00,35
2019-02-02 03:57:00,35
2019-02-02 03:58:00,35
2019-02-02 03:59:00,34
2019-02-02 04:00:00,34
2019-02-02 04:01:00,36
2019-02-02 04:02:00,33
2019-02-02 04:03:00,34
2019-02-02 04:04:00,36
2019-02-02 04:05:00,33
2019-02-02 04:06:00,34
2019-02-02 04:07:00,33
2019-02-02 04:08:00,33
2019-02-02 04:09:00,32
2019-02-02 04:10:00,33
2019-02-02 04:11:00,17
2019-02-02 04:12:00,23
2019-02-02 04:13:00,28
2019-02-02 04:14:00,28
2019-02-02 04:15:00,28
2019-02-02 04:16:00,28
2019-02-02 04:17:00,29
2019-02-02 04:18:00,27
2019-02-02 04:19:00,28
2019-02-02 04:20:00,27
2019-02-02 04:21:00,27
2019-02-02 04:22:00,26
2019-02-02 04:23:00,28
2019-02-02 04:24:00,26
2019-02-02 04:25:00,26
2019-02-02 04:26:00,28
2019-02-02 04:27:00,28
2019-02-02 04:28:00,26
2019-02-02 04:29:00,28
2019-02-02 04:30:00,29
2019-02-02 04:31:00,29
2019-02-02 04:32:00,29
2019-02-02 04:33:00,30
2019-02-02 04:34:00,20
2019-02-02 04:35:00,27
2019-02-02 04:36:00,25
2019-02-02 04:37:00,27
2019-02-02 04:38:00,28
2019-02-02 04:39:00,27
2019-02-02 04:40:00,26
2019-02-02 04:41:00,27
2019-02-02 04:42:00,27
2019-02-02 04:43:00,26
2019-02-02 04:44:00,25
2019-02-02 04:45:00,27
2019-02-02 04:46:00,26
2019-02-02 04:47:00,24
2019-02-02 04:48:00,24
2019-02-02 04:49:00,24
2019-02-02 04:50:00,24
2019-02-02 04:51:00,25
2019-02-02 04:52:00,24
2019-02-02 04:53:00,26
2019-02-02 04:54:00,23
2019-02-02 04:55:00,25
2019-02-02 04:56:00,24
2019-02-02 04:57:00,25
2019-02-02 04:58:00,25
2019-02-02 04:59:00,26
2019-02-02 05:00:00,27
2019-02-02 05:01:00,26
2019-02-02 05:02:00,19
2019-02-02 05:03:00,24
2019-02-02 05:04:00,24
2019-02-02 05:05:00,23
2019-02-02 05:06:00,22
2019-02-02 05:07:00,22
2019-02-02 05:08:00,20
2019-02-02 05:09:00,22
2019-02-02 05:10:00,18
2019-02-02 05:11:00,19
2019-02-02 05:12:00,23
