11,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-02-02 04:11:00,1
2019-02-02 04:15:00,1
2019-02-02 04:20:00,1
2019-02-02 04:28:00,1
2019-02-02 04:49:00,1
2019-02-02 05:45:00,1
2019-02-02 06:44:00,1
2019-02-02 07:07:00,1
2019-02-02 07:34:00,1
2019-02-02 08:28:00,1
2019-02-02 09:26:00,1
