11,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_i <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-02-02 04:11:00,1
2019-02-02 04:15:00,1
2019-02-02 04:23:00,1
2019-02-02 04:29:00,1
2019-02-02 04:50:00,1
2019-02-02 05:45:00,1
2019-02-02 06:44:00,1
2019-02-02 07:07:00,1
2019-02-02 07:35:00,1
2019-02-02 08:28:00,1
2019-02-02 09:27:00,1
