2,"SELECT elodieLogG as LogG, elodieBV as BV, elodieFeH as FeH FROM SpecObjAll WHERE class = &&&  AND elodieBV between # and #"
2019-11-29 18:24:00,1
2019-11-29 18:25:00,1
