135,select * from Field where fieldId=#
2019-11-29 00:00:00,1
2019-11-29 00:10:00,1
2019-11-29 00:11:00,1
2019-11-29 00:13:00,1
2019-11-29 00:18:00,1
2019-11-29 00:20:00,1
2019-11-29 00:31:00,1
2019-11-29 00:41:00,1
2019-11-29 00:42:00,1
2019-11-29 00:46:00,1
2019-11-29 01:00:00,2
2019-11-29 01:02:00,2
2019-11-29 01:45:00,2
2019-11-29 01:49:00,1
2019-11-29 02:25:00,1
2019-11-29 02:30:00,1
2019-11-29 02:42:00,1
2019-11-29 02:46:00,1
2019-11-29 02:52:00,1
2019-11-29 03:08:00,1
2019-11-29 03:21:00,1
2019-11-29 03:30:00,1
2019-11-29 03:31:00,1
2019-11-29 03:38:00,1
2019-11-29 03:52:00,1
2019-11-29 04:06:00,1
2019-11-29 04:22:00,1
2019-11-29 04:31:00,1
2019-11-29 04:53:00,1
2019-11-29 04:59:00,1
2019-11-29 05:40:00,2
2019-11-29 05:42:00,1
2019-11-29 05:44:00,1
2019-11-29 06:14:00,1
2019-11-29 06:15:00,1
2019-11-29 06:25:00,1
2019-11-29 06:47:00,1
2019-11-29 07:04:00,1
2019-11-29 07:10:00,1
2019-11-29 07:25:00,1
2019-11-29 07:26:00,1
2019-11-29 07:31:00,3
2019-11-29 07:36:00,1
2019-11-29 07:38:00,1
2019-11-29 07:45:00,1
2019-11-29 07:52:00,1
2019-11-29 07:54:00,1
2019-11-29 07:55:00,1
2019-11-29 08:53:00,1
2019-11-29 08:57:00,1
2019-11-29 09:31:00,1
2019-11-29 09:37:00,1
2019-11-29 09:41:00,1
2019-11-29 09:50:00,1
2019-11-29 09:59:00,1
2019-11-29 10:08:00,1
2019-11-29 10:09:00,1
2019-11-29 10:18:00,1
2019-11-29 10:19:00,1
2019-11-29 10:25:00,1
2019-11-29 10:29:00,1
2019-11-29 10:32:00,1
2019-11-29 10:39:00,1
2019-11-29 10:40:00,1
2019-11-29 10:52:00,1
2019-11-29 10:53:00,1
2019-11-29 11:49:00,1
2019-11-29 11:52:00,1
2019-11-29 11:59:00,2
2019-11-29 12:08:00,1
2019-11-29 12:13:00,1
2019-11-29 12:19:00,1
2019-11-29 12:23:00,1
2019-11-29 12:24:00,1
2019-11-29 12:51:00,2
2019-11-29 13:07:00,1
2019-11-29 13:20:00,1
2019-11-29 13:32:00,1
2019-11-29 13:59:00,1
2019-11-29 14:37:00,1
2019-11-29 14:43:00,1
2019-11-29 14:52:00,1
2019-11-29 14:55:00,1
2019-11-29 15:13:00,1
2019-11-29 15:22:00,1
2019-11-29 15:55:00,1
2019-11-29 15:58:00,1
2019-11-29 16:12:00,1
2019-11-29 16:26:00,1
2019-11-29 16:36:00,1
2019-11-29 17:02:00,1
2019-11-29 17:34:00,1
2019-11-29 17:56:00,1
2019-11-29 18:00:00,1
2019-11-29 18:01:00,2
2019-11-29 18:12:00,1
2019-11-29 18:32:00,1
2019-11-29 19:11:00,1
2019-11-29 19:24:00,1
2019-11-29 19:29:00,2
2019-11-29 19:34:00,1
2019-11-29 19:35:00,1
2019-11-29 19:59:00,1
2019-11-29 20:09:00,1
2019-11-29 20:24:00,1
2019-11-29 20:30:00,1
2019-11-29 20:32:00,1
2019-11-29 20:52:00,1
2019-11-29 20:54:00,1
2019-11-29 21:08:00,1
2019-11-29 21:13:00,1
2019-11-29 21:20:00,1
2019-11-29 21:37:00,1
2019-11-29 22:35:00,1
2019-11-29 22:40:00,1
2019-11-29 22:47:00,1
2019-11-29 22:58:00,1
2019-11-29 23:00:00,1
2019-11-29 23:03:00,1
2019-11-29 23:07:00,1
2019-11-29 23:10:00,1
2019-11-29 23:23:00,1
2019-11-29 23:34:00,1
2019-11-29 23:41:00,1
2019-11-29 23:59:00,1
