25,"SELECT TOP #   objID, ra, dec,   sqrt( power(rowv,#) + power(colv, #) ) as velocity   FROM PhotoObj   WHERE   (power(rowv,#) + power(colv, #)) > #   AND rowv != # and colv != #"
2019-12-22 05:11:00,2
2019-12-22 05:12:00,3
2019-12-22 05:13:00,2
2019-12-22 05:14:00,2
2019-12-22 05:15:00,1
2019-12-22 05:17:00,1
2019-12-22 05:18:00,2
2019-12-22 05:19:00,2
2019-12-22 05:20:00,3
2019-12-22 05:49:00,1
2019-12-22 05:51:00,1
2019-12-22 05:55:00,2
2019-12-22 05:59:00,1
2019-12-22 10:53:00,1
2019-12-22 15:07:00,1
