2452,"select p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z FROM PhotoPrimary AS p WHERE type=# AND ((flags_r & #) != #)AND ((flags_r & #) = #)AND (((flags_r & #) = #) or (psfmagerr_g <= #))AND (((flags_r & #) = #) or (flags_r & #) = #)AND p.ra BETWEEN (#-#) AND (#+#) AND p.dec BETWEEN (#-#) AND (#+#) ORDER BY p.objid"
2019-12-22 03:31:00,1
2019-12-22 03:43:00,1
2019-12-22 03:48:00,1
2019-12-22 03:52:00,1
2019-12-22 03:55:00,1
2019-12-22 04:03:00,241
2019-12-22 04:04:00,106
2019-12-22 04:05:00,156
2019-12-22 04:06:00,116
2019-12-22 04:07:00,152
2019-12-22 04:08:00,116
2019-12-22 04:09:00,99
2019-12-22 04:10:00,71
2019-12-22 04:11:00,36
2019-12-22 04:12:00,34
2019-12-22 04:13:00,5
2019-12-22 04:14:00,1
2019-12-22 04:15:00,126
2019-12-22 04:16:00,35
2019-12-22 04:17:00,113
2019-12-22 04:18:00,50
2019-12-22 04:19:00,112
2019-12-22 04:20:00,207
2019-12-22 04:21:00,102
2019-12-22 04:22:00,155
2019-12-22 04:23:00,59
2019-12-22 04:24:00,125
2019-12-22 04:25:00,40
2019-12-22 04:26:00,74
2019-12-22 04:27:00,59
2019-12-22 04:28:00,19
2019-12-22 04:29:00,37
2019-12-22 04:30:00,1
