821,"SELECT ra, dec, petroMag_g, petroMagErr_g, petroMag_r, petroMagErr_r, petroMag_i, petroMagErr_i FROM star WHERE (ra between # and #) and (dec between # and #) and (petroMag_g < #) and (petroMag_g>#)"
2019-06-06 00:00:00,3
2019-06-06 00:01:00,2
2019-06-06 00:02:00,3
2019-06-06 00:03:00,3
2019-06-06 00:04:00,2
2019-06-06 00:05:00,2
2019-06-06 00:06:00,3
2019-06-06 00:07:00,2
2019-06-06 00:08:00,2
2019-06-06 00:09:00,3
2019-06-06 00:10:00,2
2019-06-06 00:11:00,3
2019-06-06 00:12:00,4
2019-06-06 00:13:00,2
2019-06-06 00:14:00,2
2019-06-06 00:15:00,2
2019-06-06 00:16:00,2
2019-06-06 00:17:00,1
2019-06-06 00:18:00,2
2019-06-06 00:19:00,2
2019-06-06 00:20:00,2
2019-06-06 00:21:00,3
2019-06-06 00:22:00,2
2019-06-06 00:23:00,2
2019-06-06 00:24:00,3
2019-06-06 00:25:00,2
2019-06-06 00:26:00,3
2019-06-06 00:27:00,3
2019-06-06 00:28:00,2
2019-06-06 00:29:00,2
2019-06-06 00:30:00,2
2019-06-06 00:31:00,2
2019-06-06 00:32:00,2
2019-06-06 00:33:00,2
2019-06-06 00:34:00,2
2019-06-06 00:35:00,2
2019-06-06 00:36:00,2
2019-06-06 00:37:00,1
2019-06-06 00:38:00,4
2019-06-06 00:39:00,2
2019-06-06 00:40:00,2
2019-06-06 00:41:00,2
2019-06-06 00:42:00,2
2019-06-06 00:43:00,2
2019-06-06 00:44:00,2
2019-06-06 00:45:00,3
2019-06-06 00:46:00,2
2019-06-06 00:47:00,2
2019-06-06 00:48:00,2
2019-06-06 00:49:00,2
2019-06-06 00:50:00,1
2019-06-06 00:51:00,3
2019-06-06 00:52:00,5
2019-06-06 00:53:00,4
2019-06-06 00:54:00,2
2019-06-06 02:15:00,2
2019-06-06 02:16:00,4
2019-06-06 02:17:00,2
2019-06-06 02:31:00,2
2019-06-06 02:32:00,2
2019-06-06 02:33:00,3
2019-06-06 02:34:00,2
2019-06-06 02:39:00,2
2019-06-06 02:40:00,3
2019-06-06 02:41:00,3
2019-06-06 02:42:00,3
2019-06-06 02:43:00,3
2019-06-06 02:44:00,2
2019-06-06 02:45:00,4
2019-06-06 02:46:00,3
2019-06-06 02:47:00,3
2019-06-06 02:48:00,3
2019-06-06 02:49:00,3
2019-06-06 02:50:00,2
2019-06-06 02:51:00,1
2019-06-06 02:52:00,3
2019-06-06 02:53:00,1
2019-06-06 02:54:00,1
2019-06-06 02:55:00,2
2019-06-06 02:56:00,2
2019-06-06 02:57:00,2
2019-06-06 02:58:00,1
2019-06-06 02:59:00,4
2019-06-06 03:00:00,2
2019-06-06 03:01:00,1
2019-06-06 03:02:00,2
2019-06-06 03:03:00,4
2019-06-06 03:04:00,1
2019-06-06 03:05:00,2
2019-06-06 03:06:00,4
2019-06-06 03:07:00,3
2019-06-06 03:08:00,2
2019-06-06 03:09:00,2
2019-06-06 03:10:00,2
2019-06-06 03:11:00,2
2019-06-06 03:12:00,3
2019-06-06 03:13:00,3
2019-06-06 03:14:00,3
2019-06-06 03:15:00,3
2019-06-06 03:16:00,3
2019-06-06 03:17:00,3
2019-06-06 03:18:00,3
2019-06-06 03:19:00,3
2019-06-06 03:20:00,2
2019-06-06 03:21:00,4
2019-06-06 03:22:00,2
2019-06-06 03:23:00,2
2019-06-06 03:24:00,1
2019-06-06 03:31:00,1
2019-06-06 03:34:00,1
2019-06-06 03:38:00,3
2019-06-06 03:39:00,4
2019-06-06 03:40:00,1
2019-06-06 03:43:00,1
2019-06-06 03:46:00,1
2019-06-06 03:49:00,1
2019-06-06 03:50:00,1
2019-06-06 03:51:00,1
2019-06-06 03:52:00,1
2019-06-06 03:56:00,1
2019-06-06 03:59:00,1
2019-06-06 04:03:00,1
2019-06-06 04:06:00,1
2019-06-06 04:12:00,1
2019-06-06 04:14:00,1
2019-06-06 04:15:00,1
2019-06-06 04:22:00,1
2019-06-06 04:24:00,1
2019-06-06 04:30:00,1
2019-06-06 04:33:00,1
2019-06-06 04:39:00,1
2019-06-06 04:42:00,1
2019-06-06 04:44:00,1
2019-06-06 04:47:00,1
2019-06-06 04:50:00,1
2019-06-06 04:51:00,1
2019-06-06 04:54:00,1
2019-06-06 04:55:00,1
2019-06-06 04:58:00,1
2019-06-06 05:00:00,2
2019-06-06 05:03:00,1
2019-06-06 05:04:00,1
2019-06-06 05:07:00,1
2019-06-06 05:09:00,1
2019-06-06 05:13:00,1
2019-06-06 05:18:00,1
2019-06-06 10:55:00,1
2019-06-06 10:59:00,1
2019-06-06 11:03:00,1
2019-06-06 11:06:00,1
2019-06-06 11:07:00,1
2019-06-06 11:08:00,1
2019-06-06 11:11:00,1
2019-06-06 11:13:00,1
2019-06-06 11:18:00,1
2019-06-06 11:21:00,1
2019-06-06 11:23:00,1
2019-06-06 11:26:00,1
2019-06-06 11:27:00,1
2019-06-06 11:28:00,1
2019-06-06 11:29:00,1
2019-06-06 11:30:00,1
2019-06-06 11:31:00,2
