15,"select s.modelMag_u, s.modelMag_g, s.modelMag_r, s.modelMag_i, s.modelMag_z, s.ra, s.dec, s.z, s.ObjID, s.mjd, s.plate, s.fiberID from SpecPhotoAll as s, dbo.fGetNearbyObjEq(#,#,#) n where s.objID = n.objID and s.class = &&& and s.z between # and #"
2019-06-06 08:29:00,1
2019-06-06 08:34:00,1
2019-06-06 08:38:00,1
2019-06-06 08:42:00,1
2019-06-06 08:45:00,1
2019-06-06 08:49:00,1
2019-06-06 08:52:00,1
2019-06-06 08:55:00,1
2019-06-06 08:58:00,1
2019-06-06 09:01:00,1
2019-06-06 09:06:00,1
2019-06-06 09:11:00,1
2019-06-06 09:14:00,1
2019-06-06 10:55:00,1
2019-06-06 11:01:00,1
