677,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-06-06 14:52:00,5
2019-06-06 14:53:00,7
2019-06-06 14:57:00,2
2019-06-06 14:58:00,8
2019-06-06 14:59:00,10
2019-06-06 15:00:00,10
2019-06-06 15:01:00,8
2019-06-06 15:02:00,12
2019-06-06 15:03:00,9
2019-06-06 15:04:00,10
2019-06-06 15:05:00,7
2019-06-06 15:06:00,8
2019-06-06 15:07:00,6
2019-06-06 15:08:00,9
2019-06-06 15:09:00,8
2019-06-06 15:10:00,10
2019-06-06 15:11:00,8
2019-06-06 15:12:00,10
2019-06-06 15:13:00,10
2019-06-06 15:14:00,10
2019-06-06 15:15:00,10
2019-06-06 15:16:00,8
2019-06-06 15:17:00,10
2019-06-06 15:18:00,10
2019-06-06 15:19:00,12
2019-06-06 15:20:00,10
2019-06-06 15:21:00,12
2019-06-06 15:22:00,10
2019-06-06 15:23:00,10
2019-06-06 15:24:00,12
2019-06-06 15:25:00,10
2019-06-06 15:26:00,10
2019-06-06 15:27:00,8
2019-06-06 15:28:00,8
2019-06-06 15:29:00,11
2019-06-06 15:30:00,3
2019-06-06 15:31:00,10
2019-06-06 15:32:00,8
2019-06-06 15:33:00,10
2019-06-06 15:34:00,6
2019-06-06 15:35:00,6
2019-06-06 15:36:00,10
2019-06-06 15:37:00,4
2019-06-06 15:38:00,8
2019-06-06 15:39:00,10
2019-06-06 15:40:00,10
2019-06-06 15:41:00,8
2019-06-06 15:42:00,8
2019-06-06 15:43:00,14
2019-06-06 15:44:00,7
2019-06-06 15:45:00,7
2019-06-06 15:46:00,10
2019-06-06 15:47:00,8
2019-06-06 15:48:00,10
2019-06-06 15:49:00,10
2019-06-06 15:50:00,11
2019-06-06 15:51:00,11
2019-06-06 15:52:00,9
2019-06-06 15:53:00,9
2019-06-06 15:54:00,8
2019-06-06 15:55:00,12
2019-06-06 15:56:00,8
2019-06-06 15:57:00,12
2019-06-06 15:58:00,10
2019-06-06 15:59:00,8
2019-06-06 16:00:00,6
2019-06-06 16:01:00,5
2019-06-06 16:02:00,3
2019-06-06 16:03:00,3
2019-06-06 16:04:00,3
2019-06-06 16:05:00,4
2019-06-06 16:07:00,4
2019-06-06 16:08:00,4
2019-06-06 16:09:00,6
2019-06-06 16:10:00,6
2019-06-06 16:11:00,4
2019-06-06 16:12:00,4
2019-06-06 16:13:00,4
2019-06-06 16:14:00,2
2019-06-06 16:15:00,4
2019-06-06 16:16:00,4
2019-06-06 16:17:00,2
2019-06-06 16:18:00,4
2019-06-06 16:19:00,4
2019-06-06 16:20:00,4
2019-06-06 16:21:00,4
2019-06-06 16:22:00,4
2019-06-06 16:23:00,4
2019-06-06 16:24:00,2
