74,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-06 03:14:00,1
2019-06-06 03:16:00,1
2019-06-06 10:18:00,7
2019-06-06 10:19:00,5
2019-06-06 10:20:00,8
2019-06-06 10:21:00,1
2019-06-06 10:22:00,2
2019-06-06 10:23:00,6
2019-06-06 10:24:00,2
2019-06-06 10:31:00,4
2019-06-06 10:32:00,12
2019-06-06 10:33:00,5
2019-06-06 10:34:00,3
2019-06-06 10:41:00,1
2019-06-06 10:43:00,1
2019-06-06 11:20:00,4
2019-06-06 11:21:00,3
2019-06-06 11:35:00,1
2019-06-06 11:41:00,1
2019-06-06 11:42:00,2
2019-06-06 16:25:00,1
2019-06-06 16:26:00,1
2019-06-06 19:52:00,2
