1611,"select P.objID, P.ra, P.dec , P.u, P.g, P.r, P.i, P.z, P.type from PhotoPrimary as P , dbo.fGetNearbyObjEq(#, #, # ) N where P.objID = N.objID"
2019-06-06 08:29:00,1
2019-06-06 13:22:00,4
2019-06-06 13:23:00,4
2019-06-06 13:24:00,5
2019-06-06 13:25:00,6
2019-06-06 13:26:00,6
2019-06-06 13:27:00,4
2019-06-06 13:28:00,5
2019-06-06 13:29:00,4
2019-06-06 13:30:00,6
2019-06-06 13:31:00,5
2019-06-06 13:32:00,6
2019-06-06 13:33:00,6
2019-06-06 13:34:00,4
2019-06-06 13:35:00,6
2019-06-06 13:36:00,4
2019-06-06 13:37:00,4
2019-06-06 13:38:00,6
2019-06-06 13:39:00,6
2019-06-06 13:40:00,4
2019-06-06 13:41:00,3
2019-06-06 13:42:00,4
2019-06-06 13:43:00,2
2019-06-06 13:44:00,4
2019-06-06 13:45:00,2
2019-06-06 15:51:00,3
2019-06-06 15:52:00,7
2019-06-06 15:53:00,6
2019-06-06 15:54:00,5
2019-06-06 15:55:00,6
2019-06-06 15:56:00,5
2019-06-06 15:57:00,5
2019-06-06 15:58:00,5
2019-06-06 15:59:00,4
2019-06-06 16:00:00,7
2019-06-06 16:01:00,4
2019-06-06 16:02:00,7
2019-06-06 16:03:00,5
2019-06-06 16:04:00,4
2019-06-06 16:05:00,6
2019-06-06 16:06:00,6
2019-06-06 16:07:00,4
2019-06-06 16:08:00,7
2019-06-06 16:09:00,8
2019-06-06 16:10:00,7
2019-06-06 16:11:00,7
2019-06-06 16:12:00,7
2019-06-06 16:13:00,7
2019-06-06 16:14:00,4
2019-06-06 16:15:00,6
2019-06-06 16:16:00,6
2019-06-06 16:17:00,7
2019-06-06 16:18:00,8
2019-06-06 16:19:00,7
2019-06-06 16:20:00,8
2019-06-06 16:21:00,7
2019-06-06 16:22:00,7
2019-06-06 16:23:00,7
2019-06-06 16:24:00,8
2019-06-06 16:25:00,8
2019-06-06 16:26:00,7
2019-06-06 16:27:00,7
2019-06-06 16:28:00,6
2019-06-06 16:29:00,6
2019-06-06 16:30:00,7
2019-06-06 16:31:00,6
2019-06-06 16:32:00,6
2019-06-06 16:33:00,7
2019-06-06 16:34:00,7
2019-06-06 16:35:00,6
2019-06-06 16:36:00,6
2019-06-06 16:37:00,4
2019-06-06 16:38:00,7
2019-06-06 16:39:00,5
2019-06-06 16:40:00,6
2019-06-06 16:41:00,7
2019-06-06 16:42:00,6
2019-06-06 16:43:00,7
2019-06-06 16:44:00,6
2019-06-06 16:45:00,5
2019-06-06 16:46:00,6
2019-06-06 16:47:00,8
2019-06-06 16:48:00,7
2019-06-06 16:49:00,6
2019-06-06 16:50:00,6
2019-06-06 16:51:00,6
2019-06-06 16:52:00,6
2019-06-06 16:53:00,5
2019-06-06 16:54:00,3
2019-06-06 16:55:00,5
2019-06-06 16:56:00,8
2019-06-06 16:57:00,8
2019-06-06 16:58:00,7
2019-06-06 16:59:00,8
2019-06-06 17:00:00,8
2019-06-06 17:01:00,8
2019-06-06 17:02:00,7
2019-06-06 17:03:00,4
2019-06-06 17:04:00,5
