1688,"SELECT aa_r,kk_r,airmass_r,gain_r,sky_r,skysig_r FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-06-06 12:50:00,5
2019-06-06 12:51:00,7
2019-06-06 12:52:00,6
2019-06-06 12:53:00,7
2019-06-06 12:54:00,6
2019-06-06 12:55:00,5
2019-06-06 12:56:00,2
2019-06-06 20:41:00,5
2019-06-06 20:42:00,9
2019-06-06 20:43:00,9
2019-06-06 20:44:00,9
2019-06-06 20:45:00,8
2019-06-06 20:46:00,7
2019-06-06 20:47:00,9
2019-06-06 20:48:00,8
2019-06-06 20:49:00,8
2019-06-06 20:50:00,8
2019-06-06 20:51:00,8
2019-06-06 20:52:00,8
2019-06-06 20:53:00,9
2019-06-06 20:54:00,11
2019-06-06 20:55:00,8
2019-06-06 20:56:00,8
2019-06-06 20:57:00,8
2019-06-06 20:58:00,9
2019-06-06 20:59:00,8
2019-06-06 21:00:00,8
2019-06-06 21:01:00,9
2019-06-06 21:02:00,8
2019-06-06 21:03:00,9
2019-06-06 21:04:00,12
2019-06-06 21:05:00,11
2019-06-06 21:06:00,8
2019-06-06 21:07:00,8
2019-06-06 21:08:00,8
2019-06-06 21:09:00,8
2019-06-06 21:10:00,8
2019-06-06 21:11:00,8
2019-06-06 21:12:00,8
2019-06-06 21:13:00,9
2019-06-06 21:14:00,8
2019-06-06 21:15:00,9
2019-06-06 21:16:00,8
2019-06-06 21:17:00,8
2019-06-06 21:18:00,8
2019-06-06 21:19:00,8
2019-06-06 21:20:00,9
2019-06-06 21:21:00,8
2019-06-06 21:22:00,8
2019-06-06 21:23:00,10
2019-06-06 21:24:00,8
2019-06-06 21:25:00,9
2019-06-06 21:26:00,7
2019-06-06 21:27:00,8
2019-06-06 21:28:00,8
2019-06-06 21:29:00,8
2019-06-06 21:30:00,8
2019-06-06 21:31:00,8
2019-06-06 21:32:00,9
2019-06-06 21:33:00,8
2019-06-06 21:34:00,10
2019-06-06 21:35:00,8
2019-06-06 21:36:00,8
2019-06-06 21:37:00,8
2019-06-06 21:38:00,9
2019-06-06 21:39:00,8
2019-06-06 21:40:00,8
2019-06-06 21:41:00,8
2019-06-06 21:42:00,8
2019-06-06 21:43:00,9
2019-06-06 21:44:00,8
2019-06-06 21:45:00,5
2019-06-06 21:46:00,6
2019-06-06 21:47:00,8
2019-06-06 21:48:00,9
2019-06-06 21:49:00,7
2019-06-06 21:50:00,8
2019-06-06 21:51:00,9
2019-06-06 21:52:00,8
2019-06-06 21:53:00,9
2019-06-06 21:54:00,11
2019-06-06 21:55:00,8
2019-06-06 21:56:00,8
2019-06-06 21:57:00,7
2019-06-06 21:58:00,9
2019-06-06 21:59:00,8
2019-06-06 22:00:00,8
2019-06-06 22:01:00,8
2019-06-06 22:02:00,8
2019-06-06 22:03:00,9
2019-06-06 22:04:00,11
2019-06-06 22:05:00,7
2019-06-06 22:06:00,7
2019-06-06 22:07:00,8
2019-06-06 22:08:00,8
2019-06-06 22:09:00,8
2019-06-06 22:10:00,8
2019-06-06 22:11:00,8
2019-06-06 22:12:00,8
2019-06-06 22:13:00,9
2019-06-06 22:14:00,9
2019-06-06 22:15:00,8
2019-06-06 22:16:00,8
2019-06-06 22:17:00,8
2019-06-06 22:18:00,7
2019-06-06 22:19:00,8
2019-06-06 22:20:00,8
2019-06-06 22:21:00,8
2019-06-06 22:22:00,8
2019-06-06 22:23:00,9
2019-06-06 22:24:00,7
2019-06-06 22:25:00,7
2019-06-06 22:26:00,8
2019-06-06 22:27:00,8
2019-06-06 22:28:00,8
2019-06-06 22:29:00,8
2019-06-06 22:30:00,8
2019-06-06 22:31:00,8
2019-06-06 22:32:00,8
2019-06-06 22:33:00,8
2019-06-06 22:34:00,9
2019-06-06 22:35:00,7
2019-06-06 22:36:00,8
2019-06-06 22:37:00,8
2019-06-06 22:38:00,7
2019-06-06 22:39:00,8
2019-06-06 22:40:00,9
2019-06-06 22:41:00,8
2019-06-06 22:42:00,8
2019-06-06 22:43:00,8
2019-06-06 22:44:00,10
2019-06-06 22:45:00,7
2019-06-06 22:46:00,7
2019-06-06 22:47:00,8
2019-06-06 22:48:00,8
2019-06-06 22:49:00,8
2019-06-06 22:50:00,8
2019-06-06 22:51:00,8
2019-06-06 22:52:00,7
2019-06-06 22:53:00,7
2019-06-06 22:54:00,8
2019-06-06 22:55:00,7
2019-06-06 22:56:00,7
2019-06-06 22:57:00,7
2019-06-06 22:58:00,7
2019-06-06 22:59:00,8
2019-06-06 23:00:00,6
2019-06-06 23:01:00,8
2019-06-06 23:02:00,7
2019-06-06 23:03:00,9
2019-06-06 23:04:00,7
2019-06-06 23:05:00,8
2019-06-06 23:06:00,8
2019-06-06 23:07:00,8
2019-06-06 23:08:00,8
2019-06-06 23:09:00,8
2019-06-06 23:10:00,8
2019-06-06 23:11:00,7
2019-06-06 23:12:00,8
2019-06-06 23:13:00,9
2019-06-06 23:14:00,9
2019-06-06 23:15:00,9
2019-06-06 23:16:00,8
2019-06-06 23:17:00,9
2019-06-06 23:18:00,9
2019-06-06 23:19:00,9
2019-06-06 23:20:00,8
2019-06-06 23:21:00,9
2019-06-06 23:22:00,9
2019-06-06 23:23:00,10
2019-06-06 23:24:00,9
2019-06-06 23:25:00,8
2019-06-06 23:26:00,8
2019-06-06 23:27:00,8
2019-06-06 23:28:00,8
2019-06-06 23:29:00,9
2019-06-06 23:30:00,9
2019-06-06 23:31:00,9
2019-06-06 23:32:00,9
2019-06-06 23:33:00,9
2019-06-06 23:34:00,12
2019-06-06 23:35:00,8
2019-06-06 23:36:00,8
2019-06-06 23:37:00,9
2019-06-06 23:38:00,9
2019-06-06 23:39:00,9
2019-06-06 23:40:00,8
2019-06-06 23:41:00,9
2019-06-06 23:42:00,9
2019-06-06 23:43:00,10
2019-06-06 23:44:00,8
2019-06-06 23:45:00,8
2019-06-06 23:46:00,8
2019-06-06 23:47:00,10
2019-06-06 23:48:00,9
2019-06-06 23:49:00,9
2019-06-06 23:50:00,9
2019-06-06 23:51:00,8
2019-06-06 23:52:00,9
2019-06-06 23:53:00,10
2019-06-06 23:54:00,12
2019-06-06 23:55:00,9
2019-06-06 23:56:00,8
2019-06-06 23:57:00,9
2019-06-06 23:58:00,9
2019-06-06 23:59:00,8
