2650,"UPDATE FramePathProcessing                         SET processed = #, goodMeltScore = #, fastBottomScore = #, fastTopScore = #, processedPath = &&&, cropPath = &&&                         WHERE Path = &&&"
2019-06-06 12:59:00,21
2019-06-06 13:00:00,7
2019-06-06 13:15:00,27
2019-06-06 13:16:00,28
2019-06-06 13:17:00,29
2019-06-06 13:18:00,28
2019-06-06 13:19:00,28
2019-06-06 13:20:00,28
2019-06-06 13:21:00,29
2019-06-06 13:22:00,28
2019-06-06 13:23:00,28
2019-06-06 13:24:00,28
2019-06-06 13:25:00,28
2019-06-06 13:26:00,28
2019-06-06 13:27:00,28
2019-06-06 13:28:00,28
2019-06-06 13:29:00,29
2019-06-06 13:30:00,27
2019-06-06 13:31:00,28
2019-06-06 13:32:00,27
2019-06-06 13:33:00,28
2019-06-06 13:34:00,27
2019-06-06 13:35:00,27
2019-06-06 13:36:00,26
2019-06-06 13:37:00,27
2019-06-06 13:38:00,26
2019-06-06 13:39:00,26
2019-06-06 13:40:00,26
2019-06-06 13:41:00,24
2019-06-06 13:42:00,24
2019-06-06 13:43:00,25
2019-06-06 13:44:00,24
2019-06-06 13:45:00,24
2019-06-06 13:46:00,24
2019-06-06 13:47:00,24
2019-06-06 13:48:00,24
2019-06-06 13:49:00,23
2019-06-06 13:50:00,23
2019-06-06 13:51:00,24
2019-06-06 13:52:00,24
2019-06-06 13:53:00,24
2019-06-06 13:54:00,24
2019-06-06 13:55:00,23
2019-06-06 13:56:00,24
2019-06-06 13:57:00,24
2019-06-06 13:58:00,24
2019-06-06 13:59:00,24
2019-06-06 14:00:00,17
2019-06-06 14:01:00,23
2019-06-06 14:02:00,23
2019-06-06 14:03:00,25
2019-06-06 14:04:00,24
2019-06-06 14:05:00,23
2019-06-06 14:06:00,24
2019-06-06 14:07:00,23
2019-06-06 14:08:00,24
2019-06-06 14:09:00,24
2019-06-06 14:10:00,23
2019-06-06 14:11:00,24
2019-06-06 14:12:00,24
2019-06-06 14:13:00,24
2019-06-06 14:14:00,23
2019-06-06 14:15:00,24
2019-06-06 14:16:00,24
2019-06-06 14:17:00,23
2019-06-06 14:18:00,25
2019-06-06 14:19:00,24
2019-06-06 14:20:00,24
2019-06-06 14:21:00,24
2019-06-06 14:22:00,24
2019-06-06 14:23:00,23
2019-06-06 14:24:00,25
2019-06-06 14:25:00,22
2019-06-06 14:26:00,24
2019-06-06 14:27:00,23
2019-06-06 14:28:00,24
2019-06-06 14:29:00,24
2019-06-06 14:30:00,23
2019-06-06 14:31:00,24
2019-06-06 14:32:00,23
2019-06-06 14:33:00,24
2019-06-06 14:34:00,23
2019-06-06 14:35:00,24
2019-06-06 14:36:00,23
2019-06-06 14:37:00,24
2019-06-06 14:38:00,24
2019-06-06 14:39:00,23
2019-06-06 14:40:00,23
2019-06-06 14:41:00,24
2019-06-06 14:42:00,23
2019-06-06 14:43:00,24
2019-06-06 14:44:00,23
2019-06-06 14:45:00,24
2019-06-06 14:46:00,23
2019-06-06 14:47:00,24
2019-06-06 14:48:00,23
2019-06-06 14:49:00,23
2019-06-06 14:50:00,23
2019-06-06 14:51:00,23
2019-06-06 14:52:00,24
2019-06-06 14:53:00,23
2019-06-06 14:54:00,25
2019-06-06 14:55:00,23
2019-06-06 14:56:00,24
2019-06-06 14:57:00,23
2019-06-06 14:58:00,24
2019-06-06 14:59:00,24
2019-06-06 15:00:00,17
2019-06-06 15:01:00,23
2019-06-06 15:02:00,1
