704,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-06 12:38:00,21
2019-06-06 12:39:00,21
2019-06-06 12:42:00,13
2019-06-06 12:43:00,22
2019-06-06 12:44:00,5
2019-06-06 12:56:00,21
2019-06-06 13:00:00,28
2019-06-06 13:02:00,16
2019-06-06 13:05:00,16
2019-06-06 13:18:00,4
2019-06-06 13:19:00,10
2019-06-06 13:33:00,25
2019-06-06 13:44:00,80
2019-06-06 13:45:00,66
2019-06-06 13:46:00,18
2019-06-06 13:51:00,238
2019-06-06 13:52:00,46
2019-06-06 13:58:00,26
2019-06-06 14:02:00,20
2019-06-06 14:18:00,8
