36,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),p.z,p.specobjid,p.specClass FROM SpecPhotoAll as p WHERE p.ra<# and p.ra># and p.dec># and p.dec<# and (p.specClass=# or p.specClass=#) order by p.modelmag_r"
2019-11-15 18:09:00,1
2019-11-15 18:11:00,1
2019-11-15 18:12:00,1
2019-11-15 18:17:00,1
2019-11-15 18:18:00,2
2019-11-15 18:21:00,2
2019-11-15 18:22:00,2
2019-11-15 18:23:00,4
2019-11-15 18:24:00,2
2019-11-15 18:25:00,3
2019-11-15 18:26:00,1
2019-11-15 18:27:00,2
2019-11-15 18:29:00,4
2019-11-15 18:30:00,6
2019-11-15 18:31:00,2
2019-11-15 18:39:00,1
2019-11-15 18:40:00,1
