258,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  f.z as photoz, f.zErr as photoZerr, GN.distance,  s.specobjid, s.class, s.z as redshift, s.zErr as errredshift, s.plate, s.mjd, s.fiberid  FROM PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#, #) AS GN on p.objid = GN.objid   join Photoz as f ON f.objid = GN.objid   LEFT OUTER JOIN SpecObj AS s ON s.bestobjid = GN.objid"
2019-11-15 10:19:00,2
2019-11-15 10:21:00,12
2019-11-15 10:27:00,12
2019-11-15 10:29:00,24
2019-11-15 10:31:00,24
2019-11-15 10:36:00,12
2019-11-15 10:44:00,12
2019-11-15 10:46:00,7
2019-11-15 10:47:00,5
2019-11-15 11:04:00,3
2019-11-15 11:05:00,9
2019-11-15 11:10:00,12
2019-11-15 11:14:00,12
2019-11-15 11:29:00,6
2019-11-15 11:30:00,6
2019-11-15 11:33:00,12
2019-11-15 11:35:00,28
2019-11-15 11:41:00,3
2019-11-15 11:42:00,9
2019-11-15 11:58:00,12
2019-11-15 12:38:00,9
2019-11-15 12:39:00,3
2019-11-15 16:48:00,12
2019-11-15 16:50:00,8
2019-11-15 16:51:00,4
