3579,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-11-15 04:27:00,28
2019-11-15 04:28:00,102
2019-11-15 04:33:00,14
2019-11-15 04:34:00,52
2019-11-15 04:46:00,20
2019-11-15 04:47:00,256
2019-11-15 04:48:00,5
2019-11-15 04:54:00,17
2019-11-15 04:57:00,195
2019-11-15 04:58:00,83
2019-11-15 05:09:00,59
2019-11-15 05:10:00,44
2019-11-15 05:12:00,180
2019-11-15 05:13:00,304
2019-11-15 05:17:00,21
2019-11-15 05:19:00,24
2019-11-15 05:20:00,2
2019-11-15 05:24:00,74
2019-11-15 05:28:00,24
2019-11-15 05:29:00,94
2019-11-15 05:30:00,22
2019-11-15 05:41:00,47
2019-11-15 05:51:00,128
2019-11-15 06:11:00,129
2019-11-15 06:12:00,12
2019-11-15 13:31:00,193
2019-11-15 13:32:00,273
2019-11-15 13:35:00,46
2019-11-15 13:37:00,62
2019-11-15 13:38:00,65
2019-11-15 13:39:00,55
2019-11-15 13:40:00,146
2019-11-15 13:41:00,7
2019-11-15 13:42:00,62
2019-11-15 13:43:00,138
2019-11-15 13:46:00,16
2019-11-15 13:47:00,206
2019-11-15 13:48:00,58
2019-11-15 13:49:00,23
2019-11-15 13:51:00,39
2019-11-15 13:52:00,46
2019-11-15 13:53:00,34
2019-11-15 13:54:00,50
2019-11-15 13:55:00,69
2019-11-15 13:56:00,13
2019-11-15 13:57:00,42
