28,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),r.z,r.Zerr FROM Galaxy as p, photoz as r WHERE p.ObjID=r.ObjID and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-11-15 18:09:00,1
2019-11-15 18:11:00,1
2019-11-15 18:12:00,1
2019-11-15 18:17:00,1
2019-11-15 18:18:00,2
2019-11-15 18:21:00,4
2019-11-15 18:22:00,2
2019-11-15 18:23:00,4
2019-11-15 18:24:00,1
2019-11-15 18:25:00,6
2019-11-15 18:26:00,2
2019-11-15 18:27:00,1
2019-11-15 18:39:00,2
