106,"SELECT ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-08-14 00:05:00,1
2019-08-14 00:09:00,1
2019-08-14 00:16:00,1
2019-08-14 00:20:00,1
2019-08-14 00:34:00,1
2019-08-14 00:44:00,1
2019-08-14 01:05:00,1
2019-08-14 01:12:00,1
2019-08-14 02:02:00,2
2019-08-14 07:19:00,3
2019-08-14 07:32:00,1
2019-08-14 07:53:00,1
2019-08-14 07:58:00,1
2019-08-14 08:04:00,1
2019-08-14 08:08:00,1
2019-08-14 08:11:00,2
2019-08-14 08:15:00,1
2019-08-14 08:16:00,1
2019-08-14 08:33:00,2
2019-08-14 08:37:00,1
2019-08-14 08:42:00,1
2019-08-14 08:47:00,1
2019-08-14 09:01:00,1
2019-08-14 09:02:00,1
2019-08-14 09:06:00,1
2019-08-14 09:10:00,1
2019-08-14 09:14:00,1
2019-08-14 16:03:00,1
2019-08-14 16:23:00,1
2019-08-14 16:28:00,1
2019-08-14 16:33:00,1
2019-08-14 16:38:00,1
2019-08-14 16:43:00,1
2019-08-14 16:54:00,1
2019-08-14 17:25:00,1
2019-08-14 17:29:00,1
2019-08-14 17:33:00,1
2019-08-14 17:37:00,1
2019-08-14 17:45:00,1
2019-08-14 17:47:00,1
2019-08-14 18:16:00,1
2019-08-14 18:23:00,1
2019-08-14 18:26:00,1
2019-08-14 18:41:00,1
2019-08-14 18:51:00,2
2019-08-14 18:57:00,2
2019-08-14 19:02:00,2
2019-08-14 19:13:00,1
2019-08-14 19:20:00,1
2019-08-14 19:27:00,1
2019-08-14 19:34:00,1
2019-08-14 19:38:00,1
2019-08-14 19:43:00,1
2019-08-14 19:46:00,1
2019-08-14 19:58:00,1
2019-08-14 20:02:00,1
2019-08-14 20:10:00,1
2019-08-14 20:16:00,1
2019-08-14 20:24:00,1
2019-08-14 20:32:00,1
2019-08-14 20:39:00,1
2019-08-14 20:46:00,1
2019-08-14 20:51:00,1
2019-08-14 20:57:00,4
2019-08-14 21:04:00,1
2019-08-14 21:10:00,1
2019-08-14 21:19:00,1
2019-08-14 21:26:00,1
2019-08-14 21:31:00,1
2019-08-14 21:42:00,1
2019-08-14 21:43:00,1
2019-08-14 21:50:00,2
2019-08-14 21:57:00,2
2019-08-14 22:08:00,2
2019-08-14 22:14:00,2
2019-08-14 22:18:00,1
2019-08-14 22:25:00,1
2019-08-14 23:22:00,1
2019-08-14 23:28:00,1
2019-08-14 23:31:00,1
2019-08-14 23:32:00,1
2019-08-14 23:36:00,2
2019-08-14 23:40:00,2
2019-08-14 23:45:00,1
2019-08-14 23:48:00,1
2019-08-14 23:49:00,1
2019-08-14 23:52:00,1
2019-08-14 23:53:00,1
2019-08-14 23:56:00,1
