525,"SELECT ra, dec, radius, type,area FROM Mask where ra < # and ra > # and dec < # and dec > # and type != #"
2019-08-14 21:22:00,6
2019-08-14 21:23:00,46
2019-08-14 21:24:00,46
2019-08-14 21:25:00,51
2019-08-14 21:26:00,58
2019-08-14 21:27:00,73
2019-08-14 21:28:00,64
2019-08-14 21:29:00,72
2019-08-14 21:30:00,65
2019-08-14 21:31:00,44
