12,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-04-19 02:08:00,1
2019-04-19 04:00:00,1
2019-04-19 09:23:00,1
2019-04-19 12:03:00,1
2019-04-19 14:19:00,1
2019-04-19 15:53:00,1
2019-04-19 18:11:00,1
2019-04-19 20:23:00,1
2019-04-19 21:38:00,1
2019-04-19 22:39:00,1
2019-04-19 23:38:00,1
2019-04-19 23:40:00,1
