112,"select p.run, p.camcol, p.field from STAR as p   inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-04-19 13:58:00,6
2019-04-19 13:59:00,6
2019-04-19 14:00:00,6
2019-04-19 14:01:00,6
2019-04-19 14:02:00,8
2019-04-19 14:03:00,4
2019-04-19 14:04:00,2
2019-04-19 14:07:00,2
2019-04-19 14:27:00,2
2019-04-19 14:28:00,4
2019-04-19 14:29:00,6
2019-04-19 14:30:00,6
2019-04-19 14:31:00,5
2019-04-19 14:32:00,7
2019-04-19 14:33:00,2
2019-04-19 14:39:00,4
2019-04-19 14:41:00,4
2019-04-19 14:42:00,4
2019-04-19 14:43:00,2
2019-04-19 14:44:00,2
2019-04-19 14:46:00,2
2019-04-19 14:48:00,2
2019-04-19 14:49:00,2
2019-04-19 14:51:00,2
2019-04-19 14:56:00,2
2019-04-19 14:58:00,2
2019-04-19 14:59:00,2
2019-04-19 15:01:00,2
2019-04-19 17:44:00,2
2019-04-19 17:45:00,2
2019-04-19 17:47:00,2
2019-04-19 17:48:00,2
