2398,"SELECT objID, ra, dec, mode, clean, flags, b, cModelMag_u, cModelMagErr_u, cModelFlux_u, cModelFluxIvar_u, cModelMag_g, cModelMagErr_g, cModelFlux_g, cModelFluxIvar_g, cModelMag_r, cModelMagErr_r, cModelFlux_r, cModelFluxIvar_r, cModelMag_i, cModelMagErr_i, cModelFlux_i, cModelFluxIvar_i, cModelMag_z, cModelMagErr_z, cModelFlux_z, cModelFluxIvar_z, extinction_u, extinction_g, extinction_r, extinction_i, extinction_z FROM photoobj WHERE # <= ra and ra < #"
2019-04-19 00:00:00,5
2019-04-19 00:01:00,4
2019-04-19 00:02:00,5
2019-04-19 00:03:00,5
2019-04-19 00:04:00,5
2019-04-19 00:05:00,4
2019-04-19 00:06:00,4
2019-04-19 00:07:00,5
2019-04-19 00:08:00,4
2019-04-19 00:09:00,5
2019-04-19 00:10:00,5
2019-04-19 00:11:00,5
2019-04-19 00:12:00,5
2019-04-19 00:13:00,5
2019-04-19 00:14:00,5
2019-04-19 00:15:00,4
2019-04-19 00:16:00,5
2019-04-19 00:17:00,5
2019-04-19 00:18:00,5
2019-04-19 00:19:00,5
2019-04-19 00:20:00,4
2019-04-19 00:21:00,5
2019-04-19 00:22:00,5
2019-04-19 00:23:00,4
2019-04-19 00:24:00,5
2019-04-19 00:25:00,5
2019-04-19 00:26:00,5
2019-04-19 00:27:00,5
2019-04-19 00:28:00,4
2019-04-19 00:29:00,5
2019-04-19 00:30:00,5
2019-04-19 00:31:00,5
2019-04-19 00:32:00,5
2019-04-19 00:33:00,5
2019-04-19 00:34:00,4
2019-04-19 00:35:00,5
2019-04-19 00:36:00,5
2019-04-19 00:37:00,5
2019-04-19 00:38:00,5
2019-04-19 00:39:00,4
2019-04-19 00:40:00,5
2019-04-19 00:41:00,5
2019-04-19 00:42:00,5
2019-04-19 00:43:00,4
2019-04-19 00:44:00,5
2019-04-19 00:45:00,5
2019-04-19 00:46:00,5
2019-04-19 00:47:00,5
2019-04-19 00:48:00,5
2019-04-19 00:49:00,4
2019-04-19 00:50:00,5
2019-04-19 00:51:00,5
2019-04-19 00:52:00,5
2019-04-19 00:53:00,5
2019-04-19 00:54:00,4
2019-04-19 00:55:00,5
2019-04-19 00:56:00,5
2019-04-19 00:57:00,5
2019-04-19 00:58:00,5
2019-04-19 00:59:00,5
2019-04-19 01:00:00,5
2019-04-19 01:01:00,5
2019-04-19 01:02:00,4
2019-04-19 01:03:00,5
2019-04-19 01:04:00,3
2019-04-19 01:05:00,4
2019-04-19 01:06:00,5
2019-04-19 01:07:00,5
2019-04-19 01:08:00,5
2019-04-19 01:09:00,5
2019-04-19 01:10:00,5
2019-04-19 01:11:00,4
2019-04-19 01:12:00,5
2019-04-19 01:13:00,4
2019-04-19 01:14:00,4
2019-04-19 01:15:00,5
2019-04-19 01:16:00,4
2019-04-19 01:17:00,5
2019-04-19 01:18:00,5
2019-04-19 01:19:00,5
2019-04-19 01:20:00,5
2019-04-19 01:21:00,5
2019-04-19 01:22:00,4
2019-04-19 01:23:00,5
2019-04-19 01:24:00,5
2019-04-19 01:25:00,5
2019-04-19 01:26:00,5
2019-04-19 01:27:00,5
2019-04-19 01:28:00,5
2019-04-19 01:29:00,5
2019-04-19 01:30:00,5
2019-04-19 01:31:00,5
2019-04-19 01:32:00,5
2019-04-19 01:33:00,5
2019-04-19 01:34:00,5
2019-04-19 01:35:00,5
2019-04-19 01:36:00,4
2019-04-19 01:37:00,5
2019-04-19 01:38:00,5
2019-04-19 01:39:00,5
2019-04-19 01:40:00,4
2019-04-19 01:41:00,4
