33,"SELECT ra,dec,r FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND r < # AND r > # AND clean = #"
2019-04-19 14:07:00,1
2019-04-19 14:15:00,1
2019-04-19 14:31:00,1
2019-04-19 14:35:00,2
2019-04-19 14:36:00,1
2019-04-19 14:39:00,1
2019-04-19 14:43:00,1
2019-04-19 14:52:00,1
2019-04-19 14:53:00,1
2019-04-19 15:03:00,1
2019-04-19 15:06:00,1
2019-04-19 15:14:00,1
2019-04-19 15:16:00,1
2019-04-19 15:18:00,1
2019-04-19 15:25:00,1
2019-04-19 15:26:00,1
2019-04-19 15:28:00,3
2019-04-19 15:29:00,1
2019-04-19 15:48:00,2
2019-04-19 16:00:00,1
2019-04-19 16:02:00,1
2019-04-19 18:15:00,3
2019-04-19 18:27:00,1
2019-04-19 18:44:00,3
2019-04-19 19:06:00,1
