64,"SELECT TOP #  s.plate,s.mjd,s.fiberid,s.z,s.zErr,s.zWarning,s.class,p.run,p.rerun,p.camCol,p.field,p.obj,cast(str(p.ra,#,#) as float) as ra,cast(str(p.[dec],#,#) as float) as dec,p.r  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  WHERE s.z > # AND s.zWarning = # AND (s.class = &&&) AND s.z < #"
2019-04-19 02:07:00,1
2019-04-19 02:09:00,2
2019-04-19 02:10:00,1
2019-04-19 02:11:00,1
2019-04-19 02:12:00,2
2019-04-19 02:13:00,1
2019-04-19 02:14:00,2
2019-04-19 02:15:00,2
2019-04-19 02:16:00,1
2019-04-19 02:30:00,2
2019-04-19 02:31:00,2
2019-04-19 02:32:00,2
2019-04-19 02:33:00,2
2019-04-19 02:34:00,2
2019-04-19 02:35:00,2
2019-04-19 02:36:00,1
2019-04-19 02:40:00,1
2019-04-19 18:50:00,1
2019-04-19 18:53:00,2
2019-04-19 18:54:00,1
2019-04-19 18:55:00,2
2019-04-19 18:56:00,1
2019-04-19 18:57:00,1
2019-04-19 18:58:00,1
2019-04-19 19:00:00,1
2019-04-19 19:01:00,1
2019-04-19 19:02:00,2
2019-04-19 19:03:00,1
2019-04-19 19:04:00,1
2019-04-19 19:05:00,2
2019-04-19 19:06:00,2
2019-04-19 19:08:00,1
2019-04-19 19:09:00,2
2019-04-19 19:10:00,2
2019-04-19 19:11:00,1
2019-04-19 19:12:00,2
2019-04-19 19:13:00,1
2019-04-19 19:14:00,2
2019-04-19 19:16:00,1
2019-04-19 19:17:00,2
2019-04-19 19:18:00,2
2019-04-19 19:19:00,1
2019-04-19 19:20:00,1
