2072,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z, psfFluxIvar_u, psfFluxIvar_g, psfFluxIvar_r, psfFluxIvar_i, psfFluxIvar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-04-19 00:02:00,10
2019-04-19 00:08:00,10
2019-04-19 00:15:00,10
2019-04-19 00:21:00,4
2019-04-19 00:22:00,6
2019-04-19 00:29:00,10
2019-04-19 00:37:00,10
2019-04-19 00:44:00,10
2019-04-19 00:46:00,1
2019-04-19 00:51:00,10
2019-04-19 00:54:00,3
2019-04-19 00:55:00,1
2019-04-19 01:00:00,9
2019-04-19 01:06:00,2
2019-04-19 01:07:00,8
2019-04-19 01:14:00,10
2019-04-19 01:17:00,3
2019-04-19 01:23:00,10
2019-04-19 01:29:00,4
2019-04-19 01:30:00,5
2019-04-19 01:36:00,10
2019-04-19 01:39:00,2
2019-04-19 01:40:00,2
2019-04-19 01:41:00,2
2019-04-19 01:42:00,1
2019-04-19 01:47:00,10
2019-04-19 01:55:00,10
2019-04-19 02:02:00,1
2019-04-19 02:03:00,9
2019-04-19 02:08:00,10
2019-04-19 02:11:00,2
2019-04-19 02:12:00,2
2019-04-19 02:15:00,1
2019-04-19 02:16:00,4
2019-04-19 02:20:00,5
2019-04-19 02:26:00,10
2019-04-19 02:33:00,10
2019-04-19 02:39:00,6
2019-04-19 02:40:00,4
2019-04-19 02:43:00,4
2019-04-19 02:49:00,10
2019-04-19 02:53:00,5
2019-04-19 02:56:00,3
2019-04-19 02:58:00,3
2019-04-19 03:01:00,4
2019-04-19 03:08:00,10
2019-04-19 03:15:00,10
2019-04-19 03:22:00,5
2019-04-19 03:23:00,4
2019-04-19 03:29:00,9
2019-04-19 03:37:00,10
2019-04-19 03:40:00,3
2019-04-19 03:46:00,10
2019-04-19 03:53:00,10
2019-04-19 03:55:00,1
2019-04-19 04:01:00,10
2019-04-19 04:08:00,10
2019-04-19 04:13:00,6
2019-04-19 04:16:00,1
2019-04-19 04:17:00,5
2019-04-19 04:20:00,6
