3953,"select ra,dec,l,b, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < #"
2019-04-19 02:13:00,4
2019-04-19 02:14:00,4
2019-04-19 02:15:00,3
2019-04-19 02:16:00,3
2019-04-19 02:17:00,4
2019-04-19 02:18:00,5
2019-04-19 02:19:00,6
2019-04-19 02:20:00,5
2019-04-19 02:21:00,4
2019-04-19 02:22:00,5
2019-04-19 02:23:00,4
2019-04-19 02:24:00,5
2019-04-19 02:25:00,5
2019-04-19 02:26:00,5
2019-04-19 02:27:00,5
2019-04-19 02:28:00,6
2019-04-19 02:29:00,5
2019-04-19 02:30:00,6
2019-04-19 02:31:00,6
2019-04-19 02:32:00,10
2019-04-19 02:33:00,6
2019-04-19 02:34:00,5
2019-04-19 02:35:00,8
2019-04-19 02:36:00,5
2019-04-19 02:37:00,5
2019-04-19 02:38:00,7
2019-04-19 02:39:00,7
2019-04-19 02:40:00,4
2019-04-19 02:41:00,8
2019-04-19 02:42:00,5
2019-04-19 02:43:00,8
2019-04-19 02:44:00,5
2019-04-19 02:45:00,7
2019-04-19 02:46:00,6
2019-04-19 02:47:00,7
2019-04-19 02:48:00,5
2019-04-19 02:49:00,5
2019-04-19 02:50:00,4
2019-04-19 02:51:00,7
2019-04-19 02:52:00,7
2019-04-19 02:53:00,7
2019-04-19 02:54:00,8
2019-04-19 02:55:00,10
2019-04-19 02:56:00,7
2019-04-19 02:57:00,7
2019-04-19 02:58:00,7
2019-04-19 02:59:00,8
2019-04-19 03:00:00,7
2019-04-19 03:01:00,6
2019-04-19 03:02:00,6
2019-04-19 03:03:00,7
2019-04-19 03:04:00,10
2019-04-19 03:05:00,6
2019-04-19 03:06:00,7
2019-04-19 03:07:00,5
2019-04-19 03:08:00,7
2019-04-19 03:09:00,7
2019-04-19 03:10:00,7
2019-04-19 03:11:00,5
2019-04-19 03:12:00,10
2019-04-19 03:13:00,7
2019-04-19 03:14:00,10
2019-04-19 03:15:00,6
2019-04-19 03:16:00,6
2019-04-19 03:17:00,9
2019-04-19 03:18:00,4
2019-04-19 03:19:00,9
2019-04-19 03:20:00,9
2019-04-19 03:21:00,7
2019-04-19 03:22:00,7
2019-04-19 03:23:00,11
2019-04-19 03:24:00,6
2019-04-19 03:25:00,9
2019-04-19 03:26:00,9
2019-04-19 03:27:00,10
2019-04-19 03:28:00,10
2019-04-19 03:29:00,8
2019-04-19 03:30:00,8
2019-04-19 03:31:00,7
2019-04-19 03:32:00,5
2019-04-19 03:33:00,11
2019-04-19 03:34:00,7
2019-04-19 03:35:00,7
2019-04-19 03:36:00,9
2019-04-19 03:37:00,5
2019-04-19 03:38:00,5
2019-04-19 03:39:00,5
2019-04-19 03:40:00,7
2019-04-19 03:41:00,5
2019-04-19 03:42:00,8
2019-04-19 03:43:00,4
2019-04-19 03:44:00,7
2019-04-19 03:45:00,6
2019-04-19 03:46:00,11
2019-04-19 03:47:00,7
2019-04-19 03:48:00,7
2019-04-19 03:49:00,10
2019-04-19 03:50:00,10
2019-04-19 03:51:00,8
2019-04-19 03:52:00,8
2019-04-19 03:53:00,10
2019-04-19 03:54:00,8
2019-04-19 03:55:00,8
2019-04-19 03:56:00,11
2019-04-19 03:57:00,13
2019-04-19 03:58:00,11
2019-04-19 03:59:00,9
2019-04-19 04:00:00,7
2019-04-19 04:01:00,9
2019-04-19 04:02:00,8
2019-04-19 04:03:00,11
2019-04-19 04:04:00,11
2019-04-19 04:05:00,10
2019-04-19 04:06:00,12
2019-04-19 04:07:00,13
2019-04-19 04:08:00,9
2019-04-19 04:09:00,17
2019-04-19 04:10:00,20
2019-04-19 04:11:00,11
2019-04-19 04:12:00,16
2019-04-19 04:13:00,21
2019-04-19 04:14:00,19
2019-04-19 04:15:00,17
2019-04-19 04:16:00,21
2019-04-19 04:17:00,15
2019-04-19 04:18:00,20
2019-04-19 04:19:00,24
2019-04-19 04:20:00,23
2019-04-19 04:21:00,30
2019-04-19 04:22:00,27
2019-04-19 04:23:00,22
2019-04-19 04:24:00,28
2019-04-19 04:25:00,37
2019-04-19 04:26:00,43
2019-04-19 04:27:00,28
2019-04-19 04:28:00,42
2019-04-19 04:29:00,43
2019-04-19 04:30:00,39
2019-04-19 04:31:00,44
2019-04-19 04:32:00,42
2019-04-19 04:33:00,63
2019-04-19 04:34:00,64
2019-04-19 04:35:00,57
2019-04-19 04:36:00,63
2019-04-19 04:37:00,44
2019-04-19 04:38:00,70
2019-04-19 04:39:00,67
2019-04-19 04:40:00,65
2019-04-19 04:41:00,71
2019-04-19 04:42:00,45
2019-04-19 04:43:00,64
2019-04-19 04:44:00,63
2019-04-19 04:45:00,74
