31,"select a.visit_id, a.plate, a.mjd, a.fiberid, dbo.fMjdToGMT(a.mjd) as string, a.vrel, b.apogee_id from apogeeVisit a, dbo.fGetNearestApogeeStarEq(#,#,#) b where a.apogee_id=b.apogee_id order by mjd"
2019-04-19 15:16:00,1
2019-04-19 15:17:00,1
2019-04-19 15:25:00,1
2019-04-19 15:29:00,1
2019-04-19 15:57:00,1
2019-04-19 15:59:00,1
2019-04-19 16:03:00,1
2019-04-19 16:07:00,1
2019-04-19 16:09:00,1
2019-04-19 16:14:00,2
2019-04-19 16:18:00,2
2019-04-19 16:19:00,3
2019-04-19 16:33:00,1
2019-04-19 16:34:00,1
2019-04-19 16:38:00,2
2019-04-19 16:42:00,1
2019-04-19 16:43:00,1
2019-04-19 16:50:00,2
2019-04-19 16:53:00,3
2019-04-19 16:55:00,3
2019-04-19 16:56:00,1
