125,"SELECT TOP # dbo.fIAUFromEq(p.ra,p.dec),p.ra,p.dec,p.modelmag_g,p.modelmag_r,p.modelmag_i FROM Galaxy as p WHERE p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-04-05 02:52:00,2
2019-04-05 03:24:00,1
2019-04-05 03:25:00,8
2019-04-05 03:26:00,3
2019-04-05 03:27:00,8
2019-04-05 03:28:00,8
2019-04-05 03:29:00,9
2019-04-05 03:30:00,10
2019-04-05 03:31:00,4
2019-04-05 03:32:00,3
2019-04-05 03:33:00,5
2019-04-05 03:34:00,9
2019-04-05 03:35:00,4
2019-04-05 03:36:00,6
2019-04-05 03:37:00,10
2019-04-05 03:38:00,7
2019-04-05 03:39:00,8
2019-04-05 03:40:00,8
2019-04-05 03:41:00,4
2019-04-05 04:34:00,4
2019-04-05 04:35:00,4
