41,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-04-05 00:09:00,1
2019-04-05 00:13:00,1
2019-04-05 00:39:00,1
2019-04-05 01:20:00,1
2019-04-05 01:49:00,1
2019-04-05 01:52:00,1
2019-04-05 02:25:00,1
2019-04-05 02:33:00,1
2019-04-05 03:21:00,1
2019-04-05 03:27:00,1
2019-04-05 04:18:00,1
2019-04-05 04:22:00,1
2019-04-05 06:42:00,1
2019-04-05 06:54:00,2
2019-04-05 10:28:00,1
2019-04-05 11:14:00,1
2019-04-05 11:15:00,1
2019-04-05 11:17:00,1
2019-04-05 12:41:00,1
2019-04-05 13:01:00,1
2019-04-05 13:04:00,1
2019-04-05 13:09:00,1
2019-04-05 13:15:00,1
2019-04-05 15:07:00,1
2019-04-05 15:13:00,1
2019-04-05 15:21:00,1
2019-04-05 15:51:00,1
2019-04-05 16:04:00,1
2019-04-05 16:08:00,1
2019-04-05 17:21:00,1
2019-04-05 17:48:00,2
2019-04-05 18:23:00,1
2019-04-05 18:30:00,1
2019-04-05 18:58:00,1
2019-04-05 19:12:00,1
2019-04-05 20:59:00,1
2019-04-05 22:14:00,1
2019-04-05 23:11:00,1
2019-04-05 23:37:00,1
