47,"select p.ObjID, p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i,p.Err_i, p.z, p.Err_z from photoObj p, dbo.fGetNearbyObjEq(#,#,#) n where p.objID = n.objID AND p.type = #"
2019-04-05 00:00:00,1
2019-04-05 00:02:00,1
2019-04-05 00:04:00,1
2019-04-05 00:07:00,1
2019-04-05 00:09:00,1
2019-04-05 00:12:00,1
2019-04-05 03:12:00,1
2019-04-05 03:17:00,1
2019-04-05 03:23:00,1
2019-04-05 04:49:00,1
2019-04-05 04:51:00,1
2019-04-05 04:57:00,1
2019-04-05 04:58:00,1
2019-04-05 05:00:00,2
2019-04-05 05:02:00,1
2019-04-05 05:10:00,2
2019-04-05 05:12:00,1
2019-04-05 05:13:00,1
2019-04-05 07:19:00,1
2019-04-05 07:25:00,1
2019-04-05 07:27:00,1
2019-04-05 07:34:00,1
2019-04-05 07:36:00,1
2019-04-05 07:38:00,1
2019-04-05 07:47:00,1
2019-04-05 07:51:00,1
2019-04-05 07:57:00,1
2019-04-05 08:04:00,1
2019-04-05 08:07:00,1
2019-04-05 08:14:00,1
2019-04-05 08:23:00,1
2019-04-05 08:29:00,1
2019-04-05 08:36:00,1
2019-04-05 23:30:00,1
2019-04-05 23:33:00,1
2019-04-05 23:37:00,1
2019-04-05 23:39:00,1
2019-04-05 23:42:00,1
2019-04-05 23:44:00,1
2019-04-05 23:47:00,1
2019-04-05 23:49:00,1
2019-04-05 23:52:00,1
2019-04-05 23:54:00,1
2019-04-05 23:57:00,1
2019-04-05 23:59:00,1
