17,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-04-05 01:08:00,1
2019-04-05 02:45:00,1
2019-04-05 02:50:00,1
2019-04-05 03:05:00,1
2019-04-05 03:08:00,1
2019-04-05 03:10:00,1
2019-04-05 06:50:00,1
2019-04-05 06:59:00,1
2019-04-05 07:04:00,1
2019-04-05 07:09:00,1
2019-04-05 07:11:00,1
2019-04-05 07:18:00,1
2019-04-05 07:22:00,1
2019-04-05 07:42:00,1
2019-04-05 07:43:00,1
2019-04-05 09:56:00,1
2019-04-05 17:05:00,1
