4,"SELECT TOP # zns.nvote, G.z, zns.objid, zns.ra, zns.dec, zns.p_el as elliptical, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock, zns.p_edge as edgeon, zns.p_dk as dontknow, zns.p_mg as merger FROM SpecObjAll as G JOIN ZooSpec AS zns ON G.bestObjID = zns.objid WHERE zns.nvote >= # and zns.p_cw > # and zns.p_mg > # and g.z<# and zns.objid>#"
2019-04-05 20:30:00,2
2019-04-05 20:31:00,2
