117,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),r.z,r.Zerr FROM Galaxy as p, photoz as r WHERE p.ObjID=r.ObjID and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-04-05 02:18:00,1
2019-04-05 02:23:00,5
2019-04-05 02:41:00,4
2019-04-05 02:42:00,2
2019-04-05 02:43:00,3
2019-04-05 02:44:00,6
2019-04-05 02:45:00,2
2019-04-05 03:27:00,1
2019-04-05 03:28:00,2
2019-04-05 03:29:00,8
2019-04-05 03:30:00,9
2019-04-05 03:31:00,4
2019-04-05 03:32:00,3
2019-04-05 03:33:00,5
2019-04-05 03:34:00,7
2019-04-05 03:35:00,4
2019-04-05 03:36:00,5
2019-04-05 03:37:00,9
2019-04-05 03:38:00,7
2019-04-05 03:39:00,7
2019-04-05 03:40:00,7
2019-04-05 03:41:00,3
2019-04-05 04:34:00,4
2019-04-05 04:35:00,4
2019-04-05 16:00:00,1
2019-04-05 16:38:00,3
2019-04-05 16:39:00,1
