2,"select top # s.elodieTEff,m.nsa_elpetro_absmag_g from mangaDRPall as m,specObjAll as s where m.objdec=s.dec and m.objra=s.ra and s.elodieTEff># and s.elodieTEff<#"
2019-10-21 02:21:00,1
2019-10-21 02:22:00,1
