224,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-10-21 05:45:00,1
2019-10-21 05:48:00,3
2019-10-21 06:20:00,1
2019-10-21 06:23:00,4
2019-10-21 06:25:00,2
2019-10-21 06:35:00,1
2019-10-21 07:25:00,12
2019-10-21 07:50:00,3
2019-10-21 08:25:00,32
2019-10-21 08:26:00,8
2019-10-21 09:25:00,1
2019-10-21 12:45:00,1
2019-10-21 13:15:00,1
2019-10-21 13:45:00,1
2019-10-21 13:46:00,1
2019-10-21 14:20:00,32
2019-10-21 14:21:00,38
2019-10-21 14:22:00,31
2019-10-21 14:23:00,25
2019-10-21 15:40:00,2
2019-10-21 15:45:00,1
2019-10-21 15:47:00,2
2019-10-21 15:48:00,16
2019-10-21 16:40:00,1
2019-10-21 20:55:00,3
2019-10-21 22:45:00,1
