3434,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-21 12:32:00,62
2019-10-21 12:33:00,146
2019-10-21 12:34:00,297
2019-10-21 12:43:00,22
2019-10-21 12:44:00,123
2019-10-21 12:45:00,65
2019-10-21 12:49:00,189
2019-10-21 12:50:00,223
2019-10-21 12:51:00,80
2019-10-21 12:52:00,35
2019-10-21 13:03:00,67
2019-10-21 13:04:00,15
2019-10-21 13:07:00,52
2019-10-21 13:08:00,84
2019-10-21 13:09:00,59
2019-10-21 13:10:00,40
2019-10-21 13:12:00,30
2019-10-21 13:13:00,125
2019-10-21 13:14:00,123
2019-10-21 13:15:00,106
2019-10-21 13:16:00,77
2019-10-21 13:17:00,56
2019-10-21 13:18:00,129
2019-10-21 13:19:00,125
2019-10-21 13:20:00,184
2019-10-21 13:21:00,123
2019-10-21 13:22:00,83
2019-10-21 13:47:00,400
2019-10-21 14:04:00,47
2019-10-21 14:07:00,106
2019-10-21 14:09:00,90
2019-10-21 14:10:00,71
