13316,"SELECT gse.lgm_tot_p5#, gse.lgm_tot_p8#                FROM galSpecExtra AS gse                JOIN SpecObjAll AS s ON s.specObjID = gse.specObjID                WHERE s.mjd = # AND s.plate = # AND s.fiberID = #"
2019-09-30 15:13:00,2
2019-09-30 15:14:00,8
2019-09-30 15:17:00,8
2019-09-30 15:18:00,6
2019-09-30 15:19:00,12
2019-09-30 15:20:00,6
2019-09-30 15:21:00,6
2019-09-30 15:26:00,13
2019-09-30 15:27:00,9
2019-09-30 15:28:00,48
2019-09-30 15:29:00,23
2019-09-30 15:31:00,41
2019-09-30 15:32:00,44
2019-09-30 15:33:00,48
2019-09-30 15:34:00,53
2019-09-30 15:35:00,41
2019-09-30 15:36:00,51
2019-09-30 15:37:00,53
2019-09-30 15:38:00,31
2019-09-30 15:39:00,37
2019-09-30 15:40:00,60
2019-09-30 15:41:00,35
2019-09-30 15:42:00,43
2019-09-30 15:43:00,52
2019-09-30 15:44:00,34
2019-09-30 15:45:00,30
2019-09-30 15:50:00,23
2019-09-30 15:51:00,41
2019-09-30 15:52:00,57
2019-09-30 15:53:00,53
2019-09-30 15:54:00,57
2019-09-30 15:55:00,56
2019-09-30 15:56:00,37
2019-09-30 15:57:00,52
2019-09-30 15:58:00,48
2019-09-30 15:59:00,55
2019-09-30 16:00:00,34
2019-09-30 16:01:00,39
2019-09-30 16:02:00,47
2019-09-30 16:03:00,53
2019-09-30 16:04:00,56
2019-09-30 16:05:00,51
2019-09-30 16:06:00,30
2019-09-30 16:07:00,39
2019-09-30 16:08:00,52
2019-09-30 16:09:00,26
2019-09-30 16:10:00,32
2019-09-30 16:11:00,44
2019-09-30 16:12:00,45
2019-09-30 16:13:00,34
2019-09-30 16:14:00,48
2019-09-30 16:15:00,47
2019-09-30 16:16:00,45
2019-09-30 16:17:00,47
2019-09-30 16:18:00,47
2019-09-30 16:19:00,36
2019-09-30 16:20:00,49
2019-09-30 16:21:00,45
2019-09-30 16:22:00,44
2019-09-30 16:23:00,60
2019-09-30 16:24:00,48
2019-09-30 16:25:00,54
2019-09-30 16:26:00,43
2019-09-30 16:27:00,51
2019-09-30 16:28:00,46
2019-09-30 16:29:00,57
2019-09-30 16:30:00,57
2019-09-30 16:31:00,57
2019-09-30 16:32:00,57
2019-09-30 16:33:00,51
2019-09-30 16:34:00,50
2019-09-30 16:35:00,36
2019-09-30 16:36:00,42
2019-09-30 16:37:00,57
2019-09-30 16:38:00,54
2019-09-30 16:39:00,49
2019-09-30 16:40:00,57
2019-09-30 16:41:00,58
2019-09-30 16:42:00,44
2019-09-30 16:43:00,32
2019-09-30 16:44:00,41
2019-09-30 16:45:00,60
2019-09-30 16:46:00,31
2019-09-30 16:48:00,9
2019-09-30 16:49:00,33
2019-09-30 16:50:00,36
2019-09-30 16:51:00,56
2019-09-30 16:52:00,41
2019-09-30 16:53:00,40
2019-09-30 16:54:00,56
2019-09-30 16:55:00,35
2019-09-30 16:56:00,46
2019-09-30 16:57:00,58
2019-09-30 16:58:00,42
2019-09-30 16:59:00,42
2019-09-30 17:00:00,41
2019-09-30 17:01:00,55
2019-09-30 17:02:00,43
2019-09-30 17:03:00,46
2019-09-30 17:04:00,58
2019-09-30 17:05:00,57
2019-09-30 17:06:00,54
2019-09-30 17:07:00,55
2019-09-30 17:08:00,58
2019-09-30 17:09:00,53
2019-09-30 17:10:00,45
2019-09-30 17:11:00,35
2019-09-30 17:12:00,58
2019-09-30 17:13:00,46
2019-09-30 17:14:00,55
2019-09-30 17:15:00,55
2019-09-30 17:16:00,56
2019-09-30 17:17:00,56
2019-09-30 17:18:00,58
2019-09-30 17:19:00,37
2019-09-30 17:20:00,33
2019-09-30 17:21:00,43
2019-09-30 17:22:00,44
2019-09-30 17:23:00,51
2019-09-30 17:24:00,56
2019-09-30 17:25:00,48
2019-09-30 17:26:00,47
2019-09-30 17:27:00,52
2019-09-30 17:28:00,37
2019-09-30 17:29:00,51
2019-09-30 17:30:00,49
2019-09-30 17:31:00,36
2019-09-30 17:32:00,48
2019-09-30 17:33:00,60
2019-09-30 17:34:00,42
2019-09-30 17:35:00,56
2019-09-30 17:36:00,40
2019-09-30 17:37:00,55
2019-09-30 17:38:00,34
2019-09-30 17:39:00,46
2019-09-30 17:40:00,55
2019-09-30 17:41:00,57
2019-09-30 17:42:00,57
2019-09-30 17:43:00,56
2019-09-30 17:44:00,56
2019-09-30 17:45:00,56
2019-09-30 17:46:00,57
2019-09-30 17:47:00,58
2019-09-30 17:48:00,54
2019-09-30 17:49:00,56
2019-09-30 17:50:00,56
2019-09-30 17:51:00,57
2019-09-30 17:52:00,57
2019-09-30 17:53:00,56
2019-09-30 17:54:00,49
2019-09-30 17:55:00,40
2019-09-30 17:56:00,49
2019-09-30 17:57:00,47
2019-09-30 17:58:00,30
2019-09-30 17:59:00,43
2019-09-30 18:00:00,53
2019-09-30 18:01:00,39
2019-09-30 18:02:00,36
2019-09-30 18:03:00,58
2019-09-30 18:04:00,34
2019-09-30 18:05:00,30
2019-09-30 18:06:00,45
2019-09-30 18:07:00,51
2019-09-30 18:08:00,45
2019-09-30 18:09:00,60
2019-09-30 18:10:00,56
2019-09-30 18:11:00,57
2019-09-30 18:12:00,57
2019-09-30 18:13:00,52
2019-09-30 18:14:00,41
