4233,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-09-30 00:00:00,1
2019-09-30 00:02:00,1
2019-09-30 00:06:00,7
2019-09-30 00:07:00,9
2019-09-30 00:08:00,5
2019-09-30 00:10:00,3
2019-09-30 00:15:00,3
2019-09-30 00:16:00,10
2019-09-30 00:17:00,6
2019-09-30 00:18:00,2
2019-09-30 00:22:00,2
2019-09-30 00:23:00,1
2019-09-30 00:24:00,8
2019-09-30 00:25:00,8
2019-09-30 00:26:00,1
2019-09-30 00:27:00,3
2019-09-30 00:30:00,1
2019-09-30 00:31:00,1
2019-09-30 00:33:00,12
2019-09-30 00:34:00,3
2019-09-30 00:35:00,9
2019-09-30 00:39:00,3
2019-09-30 00:41:00,1
2019-09-30 00:42:00,5
2019-09-30 00:43:00,2
2019-09-30 00:44:00,6
2019-09-30 00:46:00,1
2019-09-30 00:47:00,1
2019-09-30 00:49:00,7
2019-09-30 00:50:00,10
2019-09-30 00:51:00,4
2019-09-30 00:52:00,1
2019-09-30 00:55:00,2
2019-09-30 00:57:00,3
2019-09-30 00:58:00,3
2019-09-30 00:59:00,2
2019-09-30 01:01:00,4
2019-09-30 01:03:00,2
2019-09-30 01:06:00,5
2019-09-30 01:07:00,3
2019-09-30 01:08:00,4
2019-09-30 01:09:00,7
2019-09-30 01:12:00,5
2019-09-30 01:14:00,5
2019-09-30 01:15:00,5
2019-09-30 01:16:00,2
2019-09-30 01:17:00,4
2019-09-30 01:20:00,2
2019-09-30 01:22:00,1
2019-09-30 01:23:00,5
2019-09-30 01:24:00,5
2019-09-30 01:26:00,6
2019-09-30 01:31:00,3
2019-09-30 01:32:00,5
2019-09-30 01:33:00,2
2019-09-30 01:34:00,5
2019-09-30 01:35:00,2
2019-09-30 01:36:00,3
2019-09-30 01:40:00,4
2019-09-30 01:41:00,1
2019-09-30 01:42:00,2
2019-09-30 01:43:00,7
2019-09-30 01:44:00,2
2019-09-30 01:46:00,1
2019-09-30 01:47:00,1
2019-09-30 01:48:00,3
2019-09-30 01:49:00,2
2019-09-30 01:51:00,4
2019-09-30 01:52:00,2
2019-09-30 01:55:00,3
2019-09-30 01:57:00,5
2019-09-30 01:59:00,7
2019-09-30 02:00:00,3
2019-09-30 02:01:00,2
2019-09-30 02:03:00,1
2019-09-30 02:04:00,1
2019-09-30 02:05:00,2
2019-09-30 02:06:00,2
2019-09-30 02:07:00,4
2019-09-30 02:08:00,1
2019-09-30 02:09:00,2
2019-09-30 02:11:00,1
2019-09-30 02:13:00,1
2019-09-30 02:14:00,4
2019-09-30 02:15:00,8
2019-09-30 02:16:00,6
2019-09-30 02:22:00,4
2019-09-30 02:23:00,3
2019-09-30 02:24:00,1
2019-09-30 02:25:00,2
2019-09-30 02:26:00,1
2019-09-30 02:27:00,2
2019-09-30 02:30:00,2
2019-09-30 02:31:00,6
2019-09-30 02:32:00,2
2019-09-30 02:33:00,4
2019-09-30 02:38:00,4
2019-09-30 02:39:00,7
2019-09-30 02:40:00,11
2019-09-30 02:41:00,1
2019-09-30 02:42:00,3
2019-09-30 02:43:00,7
2019-09-30 02:44:00,1
2019-09-30 02:46:00,1
2019-09-30 02:47:00,6
2019-09-30 02:48:00,7
2019-09-30 02:49:00,5
2019-09-30 02:50:00,5
2019-09-30 02:55:00,2
2019-09-30 02:56:00,12
2019-09-30 02:58:00,1
2019-09-30 02:59:00,3
2019-09-30 03:03:00,4
2019-09-30 03:04:00,8
2019-09-30 03:05:00,1
2019-09-30 03:06:00,1
2019-09-30 03:10:00,1
2019-09-30 03:11:00,2
2019-09-30 03:12:00,4
2019-09-30 03:13:00,1
2019-09-30 03:14:00,3
2019-09-30 03:15:00,1
2019-09-30 03:18:00,6
2019-09-30 03:19:00,2
2019-09-30 03:20:00,6
2019-09-30 03:21:00,1
2019-09-30 03:22:00,5
2019-09-30 03:25:00,2
2019-09-30 03:26:00,1
2019-09-30 03:27:00,4
2019-09-30 03:28:00,5
2019-09-30 03:30:00,4
2019-09-30 03:34:00,3
2019-09-30 03:35:00,1
2019-09-30 03:36:00,11
2019-09-30 03:37:00,2
