4216,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-09-30 12:31:00,191
2019-09-30 12:32:00,115
2019-09-30 12:35:00,91
2019-09-30 12:36:00,647
2019-09-30 12:37:00,262
2019-09-30 12:40:00,281
2019-09-30 12:41:00,344
2019-09-30 12:42:00,222
2019-09-30 12:43:00,296
2019-09-30 12:44:00,346
2019-09-30 12:45:00,204
2019-09-30 12:46:00,295
2019-09-30 12:47:00,252
2019-09-30 12:49:00,211
2019-09-30 12:50:00,98
2019-09-30 12:51:00,1
2019-09-30 12:52:00,161
2019-09-30 12:53:00,199
