12,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.nMgyPerCount_u, p.nMgyPerCount_g, nMgyPerCount_r, nMgyPerCount_i, nMgyPerCount_z FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.type=# AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-01-11 10:54:00,1
2019-01-11 10:55:00,1
2019-01-11 11:03:00,1
2019-01-11 11:06:00,1
2019-01-11 11:07:00,1
2019-01-11 11:14:00,1
2019-01-11 11:20:00,1
2019-01-11 11:21:00,1
2019-01-11 11:35:00,1
2019-01-11 11:36:00,1
2019-01-11 11:37:00,1
2019-01-11 11:38:00,1
