99,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-01-11 06:00:00,1
2019-01-11 06:04:00,6
2019-01-11 06:05:00,6
2019-01-11 06:06:00,10
2019-01-11 06:07:00,7
2019-01-11 06:08:00,10
2019-01-11 06:09:00,10
2019-01-11 06:10:00,8
2019-01-11 06:11:00,11
2019-01-11 06:12:00,11
2019-01-11 06:13:00,7
2019-01-11 18:20:00,6
2019-01-11 18:21:00,6
