21,"select distinct isnull(privs,&&&) as privs   ,target,cat from batch.servers    order by privs,target"
2019-01-11 09:38:00,1
2019-01-11 09:50:00,1
2019-01-11 09:57:00,1
2019-01-11 10:02:00,1
2019-01-11 10:10:00,1
2019-01-11 10:13:00,1
2019-01-11 10:22:00,1
2019-01-11 10:32:00,1
2019-01-11 10:37:00,1
2019-01-11 10:44:00,1
2019-01-11 10:47:00,1
2019-01-11 10:50:00,1
2019-01-11 10:51:00,1
2019-01-11 10:52:00,1
2019-01-11 10:58:00,1
2019-01-11 11:04:00,1
2019-01-11 11:45:00,1
2019-01-11 11:56:00,1
2019-01-11 11:58:00,1
2019-01-11 12:13:00,1
2019-01-11 13:03:00,1
