53,select
2019-01-11 04:52:00,2
2019-01-11 04:57:00,2
2019-01-11 04:58:00,1
2019-01-11 05:01:00,1
2019-01-11 05:03:00,2
2019-01-11 05:07:00,3
2019-01-11 05:12:00,2
2019-01-11 05:13:00,1
2019-01-11 11:05:00,2
2019-01-11 11:06:00,1
2019-01-11 11:29:00,1
2019-01-11 11:30:00,2
2019-01-11 13:29:00,3
2019-01-11 16:13:00,3
2019-01-11 16:54:00,3
2019-01-11 18:04:00,3
2019-01-11 18:38:00,3
2019-01-11 19:49:00,3
2019-01-11 20:26:00,3
2019-01-11 21:03:00,3
2019-01-11 21:38:00,3
2019-01-11 22:18:00,1
2019-01-11 22:19:00,2
2019-01-11 23:33:00,3
